#EXPORTTYPE:                 ,DATA COMPARE                 ,
#FILE:                       ,sample1.ngb-ds3              ,
#FORMAT:                     ,NETZSCH5                     ,
#FTYPE:                      ,ANSI                         ,
#IDENTITY:                   ,graphite                     ,
#DECIMAL:                    ,POINT                        ,
#SEPARATOR:                  ,COMMA                        ,
#MTYPE:                      ,CP                           ,
#INSTRUMENT:                 ,NETZSCH STA 449F3            ,
#PROJECT:                    ,Gen3CSP                      ,
#DATE/TIME:                  ,12/9/2022 11:00:47 AM (UTC-5),
#CORR. FILE:                 ,baseline2.ngb-bs3            ,
#TEMPCAL:                    ,TCALZERO.TCX                 ,
#SENSITIVITY:                ,SENSZERO.EXX                 ,
#LABORATORY:                 ,STEEL                        ,
#OPERATOR:                   ,MJA                          ,
#REMARK:                     ,                             ,
#SAMPLE:                     ,sample1                      ,
#SAMPLE MASS /mg:            ,51,
#MATERIAL:                   ,                             ,
#REFERENCE:                  ,                             ,
#REFERENCE MASS /mg:         ,0,
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0,
#REFERENCE CRUCIBLE MASS /mg:,0,
#DSC RANGE /�V:              ,5000,
#TG RANGE /mg:               ,35000,
#TAU-R:                      ,---                          ,
#CORR. CODE:                 ,0,
#EXO:                        ,-1,
#RANGE:                      ,100�C/15.0(K/min)/1180�C     ,
#SEGMENT:                    ,S5/7                         ,
#SEG. 5:                     ,100�C/15.0(K/min)/1180�C     ,
,,
##Temp./C,Cp(5)/(J/(g*K)),
138.004,-0.79727,
138.0238,-0.80013,
138.04361,-0.80301,
138.06341,-0.8059,
138.08322,-0.80884,
138.10302,-0.81182,
138.12282,-0.81485,
138.14263,-0.81795,
138.16243,-0.82107,
138.18224,-0.82418,
138.20204,-0.82724,
138.22185,-0.83023,
138.24165,-0.8331,
138.26146,-0.83586,
138.28126,-0.83858,
138.30106,-0.84129,
138.32087,-0.84406,
138.34067,-0.84694,
138.36048,-0.84998,
138.38028,-0.85317,
138.40009,-0.8564,
138.41989,-0.8596,
138.43969,-0.86265,
138.4595,-0.86547,
138.4793,-0.86799,
138.49911,-0.87029,
138.51891,-0.87245,
138.53872,-0.87455,
138.55852,-0.87667,
138.57833,-0.87889,
138.59813,-0.88131,
138.61793,-0.88398,
138.63774,-0.8869,
138.65754,-0.88999,
138.67735,-0.89319,
138.69715,-0.89644,
138.71696,-0.89968,
138.73676,-0.90286,
138.75657,-0.90598,
138.77637,-0.90901,
138.79617,-0.91195,
138.81598,-0.91478,
138.83578,-0.91749,
138.85559,-0.92009,
138.87539,-0.9226,
138.8952,-0.92503,
138.915,-0.9274,
138.9348,-0.92974,
138.95461,-0.93206,
138.97441,-0.93439,
138.99422,-0.93675,
139.01402,-0.93917,
139.03383,-0.94169,
139.05363,-0.94433,
139.07344,-0.94712,
139.09324,-0.95009,
139.11304,-0.95321,
139.13285,-0.95639,
139.15265,-0.95956,
139.17246,-0.96265,
139.19226,-0.96557,
139.21207,-0.96827,
139.23187,-0.97077,
139.25168,-0.97313,
139.27148,-0.97539,
