#EXPORTTYPE:                 ,DATA COMPARE                  ,
#FILE:                       ,sample2.ngb-ds3               ,
#FORMAT:                     ,NETZSCH5                      ,
#FTYPE:                      ,ANSI                          ,
#IDENTITY:                   ,graphite                      ,
#DECIMAL:                    ,POINT                         ,
#SEPARATOR:                  ,COMMA                         ,
#MTYPE:                      ,CP                            ,
#INSTRUMENT:                 ,NETZSCH STA 449F3             ,
#PROJECT:                    ,Gen3CSP                       ,
#DATE/TIME:                  ,12/12/2022 10:05:54 AM (UTC-5),
#CORR. FILE:                 ,baseline2.ngb-bs3             ,
#TEMPCAL:                    ,TCALZERO.TCX                  ,
#SENSITIVITY:                ,SENSZERO.EXX                  ,
#LABORATORY:                 ,STEEL                         ,
#OPERATOR:                   ,MJA                           ,
#REMARK:                     ,                              ,
#SAMPLE:                     ,sample2                       ,
#SAMPLE MASS /mg:            ,48.8,
#MATERIAL:                   ,                              ,
#REFERENCE:                  ,                              ,
#REFERENCE MASS /mg:         ,0,
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid        
#SAMPLE CRUCIBLE MASS /mg:   ,0,
#REFERENCE CRUCIBLE MASS /mg:,0,
#DSC RANGE /�V:              ,5000,
#TG RANGE /mg:               ,35000,
#TAU-R:                      ,---                           ,
#CORR. CODE:                 ,0,
#EXO:                        ,-1,
#RANGE:                      ,100�C/15.0(K/min)/1180�C      ,
#SEGMENT:                    ,S5/7                          ,
#SEG. 5:                     ,100�C/15.0(K/min)/1180�C      ,
,,
##Temp./C,Cp(5)/(J/(g*K)),
150.2568,-0.46783,
150.27661,-0.46783,
150.29641,-0.46783,
150.31622,-0.46783,
150.33602,-0.46783,
150.35583,-0.46783,
150.37563,-0.46783,
150.39544,-0.46783,
150.41524,-0.46783,
150.43504,-0.46783,
150.45485,-0.46783,
150.47465,-0.46783,
150.49446,-0.46783,
150.51426,-0.46783,
150.53407,-0.46783,
150.55387,-0.46783,
150.57368,-0.46783,
150.59348,-0.46783,
150.61328,-0.46783,
150.63309,-0.46783,
150.65289,-0.46783,
150.6727,-0.46783,
150.6925,-0.46783,
150.71231,-0.46783,
150.73211,-0.46783,
150.75191,-0.46783,
150.77172,-0.46783,
150.79152,-0.46783,
150.81133,-0.46783,
150.83113,-0.46783,
150.85094,-0.46783,
150.87074,-0.46783,
150.89055,-0.46783,
150.91035,-0.46783,
150.93015,-0.46783,
150.94996,-0.46783,
150.96976,-0.46783,
150.98957,-0.46783,
151.00937,-0.46783,
151.02918,-0.46783,
151.04898,-0.46783,
151.06879,-0.46783,
151.08859,-0.46783,
151.10839,-0.46783,
151.1282,-0.46783,
151.148,-0.46783,
151.16781,-0.46783,
151.18761,-0.46783,
151.20742,-0.46783,
151.22722,-0.46783,
151.24702,-0.46783,
151.26683,-0.46783,
151.28663,-0.46783,
151.30644,-0.46783,
151.32624,-0.46783,
151.34605,-0.46783,
151.36585,-0.46783,
151.38566,-0.46783,
151.40546,-0.46783,
151.42526,-0.46783,
151.44507,-0.46783,
151.46487,-0.46783,
151.48468,-0.46783,
151.50448,-0.46783,
151.52429,-0.46783,
