#EXPORTTYPE:                 ,DATA COMPARE                 ,
#FILE:                       ,sample3.ngb-ds3              ,
#FORMAT:                     ,NETZSCH5                     ,
#FTYPE:                      ,ANSI                         ,
#IDENTITY:                   ,graphite                     ,
#DECIMAL:                    ,POINT                        ,
#SEPARATOR:                  ,COMMA                        ,
#MTYPE:                      ,CP                           ,
#INSTRUMENT:                 ,NETZSCH STA 449F3            ,
#PROJECT:                    ,Gen3CSP                      ,
#DATE/TIME:                  ,12/12/2022 3:10:24 PM (UTC-5),
#CORR. FILE:                 ,baseline2.ngb-bs3            ,
#TEMPCAL:                    ,TCALZERO.TCX                 ,
#SENSITIVITY:                ,SENSZERO.EXX                 ,
#LABORATORY:                 ,STEEL                        ,
#OPERATOR:                   ,MJA                          ,
#REMARK:                     ,                             ,
#SAMPLE:                     ,sample3                      ,
#SAMPLE MASS /mg:            ,33.9,
#MATERIAL:                   ,                             ,
#REFERENCE:                  ,                             ,
#REFERENCE MASS /mg:         ,0,
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0,
#REFERENCE CRUCIBLE MASS /mg:,0,
#DSC RANGE /�V:              ,5000,
#TG RANGE /mg:               ,35000,
#TAU-R:                      ,---                          ,
#CORR. CODE:                 ,0,
#EXO:                        ,-1,
#RANGE:                      ,100�C/15.0(K/min)/1180�C     ,
#SEGMENT:                    ,S5/7                         ,
#SEG. 5:                     ,100�C/15.0(K/min)/1180�C     ,
,,
##Temp./C,Cp(5)/(J/(g*K)),
138.118,-1.06831,
138.1378,-1.07165,
138.15761,-1.07499,
138.17741,-1.07833,
138.19721,-1.08166,
138.21702,-1.08499,
138.23682,-1.08831,
138.25663,-1.09162,
138.27643,-1.09493,
138.29624,-1.09825,
138.31604,-1.10160,
138.33584,-1.10498,
138.35565,-1.10842,
138.37545,-1.11188,
138.39526,-1.11533,
138.41506,-1.11874,
138.43487,-1.12207,
138.45467,-1.12525,
138.47448,-1.12827,
138.49428,-1.13115,
138.51408,-1.13397,
138.53389,-1.13677,
138.55369,-1.13962,
138.5735,-1.14259,
138.5933,-1.14575,
138.61311,-1.14909,
138.63291,-1.15258,
138.65272,-1.15614,
138.67252,-1.15973,
138.69232,-1.16328,
138.71213,-1.16675,
138.73193,-1.17009,
138.75174,-1.17332,
138.77154,-1.17643,
138.79135,-1.17944,
138.81115,-1.18237,
138.83095,-1.18518,
138.85076,-1.18792,
138.87056,-1.19061,
138.89037,-1.19325,
138.91017,-1.19587,
138.92998,-1.19851,
138.94978,-1.20118,
138.96959,-1.20391,
138.98939,-1.20672,
139.00919,-1.20960,
139.029,-1.21259,
139.0488,-1.21565,
139.06861,-1.21882,
139.08841,-1.22210,
139.10822,-1.22547,
139.12802,-1.22887,
139.14783,-1.23228,
139.16763,-1.23564,
139.18743,-1.23891,
139.20724,-1.24205,
139.22704,-1.24508,
139.24685,-1.24799,
139.26665,-1.25085,
139.28646,-1.25366,
139.30626,-1.25646,
139.32606,-1.25928,
139.34587,-1.26212,
139.36567,-1.26499,
139.38548,-1.26787,
139.40528,-1.27076,
139.42509,-1.27365,
139.44489,-1.27652,
139.4647,-1.27936,
139.4845,-1.28218,
139.5043,-1.28498,
139.52411,-1.28774,
139.54391,-1.29047,
139.56372,-1.29316,
139.58352,-1.29583,
139.60333,-1.29846,
139.62313,-1.30110,
139.64294,-1.30375,
139.66274,-1.30645,
139.68254,-1.30921,
139.70235,-1.31207,
139.72215,-1.31503,
139.74196,-1.31811,
139.76176,-1.32123,
139.78157,-1.32435,
139.80137,-1.32740,
139.82117,-1.33033,
139.84098,-1.33308,
139.86078,-1.33566,
139.88059,-1.33812,
139.90039,-1.34053,
139.9202,-1.34295,
139.94,-1.34543,
139.95981,-1.34805,
139.97961,-1.35086,
139.99941,-1.35386,
140.01922,-1.35699,
140.03902,-1.36022,
140.05883,-1.36347,
140.07863,-1.36672,
140.09844,-1.36989,
140.11824,-1.37294,
140.13805,-1.37588,
140.15785,-1.37870,
140.17765,-1.38138,
140.19746,-1.38392,
140.21726,-1.38634,
140.23707,-1.38861,
140.25687,-1.39079,
140.27668,-1.39293,
140.29648,-1.39510,
140.31628,-1.39736,
140.33609,-1.39978,
140.35589,-1.40242,
140.3757,-1.40534,
140.3955,-1.40846,
140.41531,-1.41173,
140.43511,-1.41504,
140.45492,-1.41830,
140.47472,-1.42142,
140.49452,-1.42431,
140.51433,-1.42699,
140.53413,-1.42948,
140.55394,-1.43185,
140.57374,-1.43414,
140.59355,-1.43640,
140.61335,-1.43871,
140.63316,-1.44109,
140.65296,-1.44359,
140.67276,-1.44617,
140.69257,-1.44882,
140.71237,-1.45152,
140.73218,-1.45424,
140.75198,-1.45698,
140.77179,-1.45969,
140.79159,-1.46237,
140.81139,-1.46500,
140.8312,-1.46758,
140.851,-1.47006,
140.87081,-1.47247,
140.89061,-1.47477,
140.91042,-1.47695,
140.93022,-1.47903,
140.95003,-1.48106,
140.96983,-1.48309,
140.98963,-1.48515,
141.00944,-1.48730,
141.02924,-1.48958,
141.04905,-1.49203,
141.06885,-1.49466,
141.08866,-1.49741,
141.10846,-1.50025,
141.12827,-1.50311,
141.14807,-1.50596,
141.16787,-1.50875,
141.18768,-1.51142,
141.20748,-1.51397,
141.22729,-1.51644,
141.24709,-1.51883,
141.2669,-1.52117,
141.2867,-1.52350,
141.3065,-1.52584,
141.32631,-1.52822,
141.34611,-1.53062,
141.36592,-1.53305,
141.38572,-1.53549,
141.40553,-1.53793,
141.42533,-1.54036,
141.44514,-1.54277,
141.46494,-1.54514,
141.48474,-1.54746,
141.50455,-1.54975,
141.52435,-1.55200,
141.54416,-1.55421,
141.56396,-1.55640,
141.58377,-1.55857,
141.60357,-1.56071,
141.62338,-1.56285,
141.64318,-1.56497,
141.66298,-1.56710,
141.68279,-1.56927,
141.70259,-1.57147,
141.7224,-1.57373,
141.7422,-1.57605,
141.76201,-1.57845,
141.78181,-1.58093,
141.80161,-1.58348,
141.82142,-1.58607,
141.84122,-1.58869,
141.86103,-1.59133,
141.88083,-1.59394,
141.90064,-1.59654,
141.92044,-1.59909,
141.94025,-1.60162,
141.96005,-1.60411,
141.97985,-1.60656,
141.99966,-1.60897,
142.01946,-1.61135,
142.03927,-1.61369,
142.05907,-1.61600,
142.07888,-1.61830,
142.09868,-1.62058,
142.11849,-1.62287,
142.13829,-1.62517,
142.15809,-1.62749,
142.1779,-1.62985,
142.1977,-1.63222,
142.21751,-1.63461,
142.23731,-1.63699,
142.25712,-1.63936,
142.27692,-1.64171,
142.29672,-1.64402,
142.31653,-1.64629,
142.33633,-1.64852,
142.35614,-1.65072,
142.37594,-1.65288,
142.39575,-1.65504,
142.41555,-1.65721,
142.43536,-1.65937,
142.45516,-1.66157,
142.47496,-1.66379,
142.49477,-1.66606,
142.51457,-1.66834,
142.53438,-1.67064,
142.55418,-1.67294,
142.57399,-1.67525,
142.59379,-1.67753,
142.6136,-1.67980,
142.6334,-1.68204,
142.6532,-1.68428,
142.67301,-1.68648,
142.69281,-1.68865,
142.71262,-1.69081,
142.73242,-1.69296,
142.75223,-1.69508,
142.77203,-1.69718,
142.79183,-1.69927,
142.81164,-1.70133,
142.83144,-1.70337,
142.85125,-1.70540,
142.87105,-1.70740,
142.89086,-1.70937,
142.91066,-1.71133,
142.93047,-1.71326,
142.95027,-1.71520,
142.97007,-1.71716,
142.98988,-1.71912,
143.00968,-1.72114,
143.02949,-1.72321,
143.04929,-1.72533,
143.0691,-1.72752,
143.0889,-1.72975,
143.10871,-1.73202,
143.12851,-1.73427,
143.14831,-1.73649,
143.16812,-1.73868,
143.18792,-1.74078,
143.20773,-1.74281,
143.22753,-1.74474,
143.24734,-1.74662,
143.26714,-1.74846,
143.28694,-1.75029,
143.30675,-1.75211,
143.32655,-1.75398,
143.34636,-1.75591,
143.36616,-1.75789,
143.38597,-1.75992,
143.40577,-1.76198,
143.42558,-1.76406,
143.44538,-1.76614,
143.46518,-1.76820,
143.48499,-1.77022,
143.50479,-1.77220,
143.5246,-1.77414,
143.5444,-1.77605,
143.56421,-1.77796,
143.58401,-1.77991,
143.60382,-1.78191,
143.62362,-1.78400,
143.64342,-1.78620,
143.66323,-1.78853,
143.68303,-1.79097,
143.70284,-1.79346,
143.72264,-1.79596,
143.74245,-1.79840,
143.76225,-1.80076,
143.78205,-1.80296,
143.80186,-1.80496,
143.82166,-1.80675,
143.84147,-1.80836,
143.86127,-1.80985,
143.88108,-1.81128,
143.90088,-1.81271,
143.92069,-1.81418,
143.94049,-1.81575,
143.96029,-1.81748,
143.9801,-1.81939,
143.9999,-1.82148,
144.01971,-1.82368,
144.03951,-1.82595,
144.05932,-1.82824,
144.07912,-1.83053,
144.09893,-1.83274,
144.11873,-1.83486,
144.13853,-1.83685,
144.15834,-1.83873,
144.17814,-1.84053,
144.19795,-1.84228,
144.21775,-1.84397,
144.23756,-1.84566,
144.25736,-1.84734,
144.27716,-1.84905,
144.29697,-1.85078,
144.31677,-1.85254,
144.33658,-1.85433,
144.35638,-1.85614,
144.37619,-1.85797,
144.39599,-1.85983,
144.4158,-1.86170,
144.4356,-1.86358,
144.4554,-1.86547,
144.47521,-1.86738,
144.49501,-1.86930,
144.51482,-1.87123,
144.53462,-1.87319,
144.55443,-1.87515,
144.57423,-1.87713,
144.59404,-1.87913,
144.61384,-1.88113,
144.63364,-1.88313,
144.65345,-1.88513,
144.67325,-1.88708,
144.69306,-1.88902,
144.71286,-1.89090,
144.73267,-1.89272,
144.75247,-1.89446,
144.77227,-1.89615,
144.79208,-1.89780,
144.81188,-1.89943,
144.83169,-1.90105,
144.85149,-1.90273,
144.8713,-1.90445,
144.8911,-1.90626,
144.91091,-1.90816,
144.93071,-1.91017,
144.95051,-1.91227,
144.97032,-1.91441,
144.99012,-1.91654,
145.00993,-1.91864,
145.02973,-1.92068,
145.04954,-1.92260,
145.06934,-1.92437,
145.08915,-1.92600,
145.10895,-1.92750,
145.12875,-1.92891,
145.14856,-1.93027,
145.16836,-1.93163,
145.18817,-1.93303,
145.20797,-1.93450,
145.22778,-1.93608,
145.24758,-1.93780,
145.26738,-1.93964,
145.28719,-1.94157,
145.30699,-1.94354,
145.3268,-1.94549,
145.3466,-1.94742,
145.36641,-1.94927,
145.38621,-1.95099,
145.40602,-1.95259,
145.42582,-1.95408,
145.44562,-1.95553,
145.46543,-1.95693,
145.48523,-1.95835,
145.50504,-1.95982,
145.52484,-1.96137,
145.54465,-1.96304,
145.56445,-1.96485,
145.58426,-1.96678,
145.60406,-1.96879,
145.62386,-1.97084,
145.64367,-1.97288,
145.66347,-1.97490,
145.68328,-1.97683,
145.70308,-1.97865,
145.72289,-1.98032,
145.74269,-1.98187,
145.76249,-1.98332,
145.7823,-1.98472,
145.8021,-1.98608,
145.82191,-1.98745,
145.84171,-1.98883,
145.86152,-1.99027,
145.88132,-1.99180,
145.90113,-1.99342,
145.92093,-1.99511,
145.94073,-1.99685,
145.96054,-1.99862,
145.98034,-2.00041,
146.00015,-2.00218,
146.01995,-2.00394,
146.03976,-2.00565,
146.05956,-2.00731,
146.07937,-2.00894,
146.09917,-2.01054,
146.11897,-2.01211,
146.13878,-2.01366,
146.15858,-2.01521,
146.17839,-2.01676,
146.19819,-2.01832,
146.218,-2.01990,
146.2378,-2.02150,
146.2576,-2.02312,
146.27741,-2.02475,
146.29721,-2.02640,
146.31702,-2.02805,
146.33682,-2.02972,
146.35663,-2.03139,
146.37643,-2.03306,
146.39624,-2.03475,
146.41604,-2.03642,
146.43584,-2.03808,
146.45565,-2.03973,
146.47545,-2.04136,
146.49526,-2.04296,
146.51506,-2.04455,
146.53487,-2.04610,
146.55467,-2.04763,
146.57448,-2.04915,
146.59428,-2.05065,
146.61408,-2.05216,
146.63389,-2.05368,
146.65369,-2.05523,
146.6735,-2.05680,
146.6933,-2.05842,
146.71311,-2.06008,
146.73291,-2.06179,
146.75271,-2.06352,
146.77252,-2.06527,
146.79232,-2.06704,
146.81213,-2.06880,
146.83193,-2.07056,
146.85174,-2.07229,
146.87154,-2.07400,
146.89135,-2.07566,
146.91115,-2.07727,
146.93095,-2.07886,
146.95076,-2.08041,
146.97056,-2.08193,
146.99037,-2.08341,
147.01017,-2.08485,
147.02998,-2.08627,
147.04978,-2.08765,
147.06959,-2.08900,
147.08939,-2.09032,
147.10919,-2.09162,
147.129,-2.09290,
147.1488,-2.09416,
147.16861,-2.09541,
147.18841,-2.09664,
147.20822,-2.09787,
147.22802,-2.09910,
147.24782,-2.10033,
147.26763,-2.10159,
147.28743,-2.10289,
147.30724,-2.10423,
147.32704,-2.10563,
147.34685,-2.10709,
147.36665,-2.10863,
147.38646,-2.11026,
147.40626,-2.11196,
147.42606,-2.11369,
147.44587,-2.11545,
147.46567,-2.11721,
147.48548,-2.11893,
147.50528,-2.12060,
147.52509,-2.12221,
147.54489,-2.12370,
147.5647,-2.12512,
147.5845,-2.12647,
147.6043,-2.12776,
147.62411,-2.12901,
147.64391,-2.13024,
147.66372,-2.13145,
147.68352,-2.13268,
147.70333,-2.13392,
147.72313,-2.13520,
147.74293,-2.13650,
147.76274,-2.13783,
147.78254,-2.13917,
147.80235,-2.14053,
147.82215,-2.14191,
147.84196,-2.14330,
147.86176,-2.14469,
147.88157,-2.14608,
147.90137,-2.14748,
147.92117,-2.14887,
147.94098,-2.15028,
147.96078,-2.15171,
147.98059,-2.15315,
148.00039,-2.15461,
148.0202,-2.15611,
148.04,-2.15763,
148.05981,-2.15918,
148.07961,-2.16076,
148.09941,-2.16235,
148.11922,-2.16394,
148.13902,-2.16550,
148.15883,-2.16704,
148.17863,-2.16852,
148.19844,-2.16994,
148.21824,-2.17126,
148.23804,-2.17250,
148.25785,-2.17368,
148.27765,-2.17480,
148.29746,-2.17590,
148.31726,-2.17700,
148.33707,-2.17811,
148.35687,-2.17928,
148.37668,-2.18050,
148.39648,-2.18181,
148.41628,-2.18320,
148.43609,-2.18466,
148.45589,-2.18616,
148.4757,-2.18768,
148.4955,-2.18922,
148.51531,-2.19074,
148.53511,-2.19222,
148.55492,-2.19366,
148.57472,-2.19503,
148.59452,-2.19633,
