#EXPORTTYPE:                 ,DATA COMPARE                 
#FILE:                       ,sample1.ngb-ds3              
#FORMAT:                     ,NETZSCH5                     
#FTYPE:                      ,ANSI                         
#IDENTITY:                   ,putty                        
#DECIMAL:                    ,POINT                        
#SEPARATOR:                  ,COMMA                        
#MTYPE:                      ,CP                           
#INSTRUMENT:                 ,NETZSCH STA 449F3            
#PROJECT:                    ,Gen3CSP                      
#DATE/TIME:                  ,12/13/2022 3:59:26 PM (UTC-5)
#CORR. FILE:                 ,baseline2.ngb-bs3            
#TEMPCAL:                    ,TCALZERO.TCX                 
#SENSITIVITY:                ,SENSZERO.EXX                 
#LABORATORY:                 ,STEEL                        
#OPERATOR:                   ,MJA                          
#REMARK:                     ,                             
#SAMPLE:                     ,sample1                      
#SAMPLE MASS /mg:            ,35.9                         
#MATERIAL:                   ,                             
#REFERENCE:                  ,                             
#REFERENCE MASS /mg:         ,0                            
#TYPE OF CRUCIBLE:           ,PtRh20 85 �l, with lid       
#SAMPLE CRUCIBLE MASS /mg:   ,0                            
#REFERENCE CRUCIBLE MASS /mg:,0                            
#DSC RANGE /�V:              ,5000                         
#TG RANGE /mg:               ,35000                        
#TAU-R:                      ,---                          
#CORR. CODE:                 ,00                           
#EXO:                        ,-1                           
#RANGE:                      ,25�C/15.0(K/min)/1180�C      
#SEGMENT:                    ,S1/7                         
#SEG. 1:                     ,25�C/15.0(K/min)/1180�C      
,,
##Temp./C,Cp(1)/(J/(g*K))
  29.15000,      0.97931
  29.16980,      0.97984
  29.18961,      0.98042
  29.20941,      0.98108
  29.22922,      0.98187
  29.24902,      0.98284
  29.26883,      0.98396
  29.28863,      0.98511
  29.30843,      0.98613
  29.32824,      0.98686
  29.34804,      0.98724
  29.36785,      0.98735
  29.38765,      0.98734
  29.40746,      0.98733
  29.42726,      0.98745
  29.44707,      0.98783
  29.46687,      0.98844
  29.48667,      0.98917
  29.50648,      0.98990
  29.52628,      0.99050
  29.54609,      0.99085
  29.56589,      0.99096
  29.58570,      0.99092
  29.60550,      0.99084
  29.62531,      0.99084
  29.64511,      0.99103
  29.66491,      0.99148
  29.68472,      0.99213
  29.70452,      0.99285
  29.72433,      0.99354
  29.74413,      0.99409
  29.76394,      0.99449
  29.78374,      0.99479
  29.80354,      0.99503
  29.82335,      0.99528
  29.84315,      0.99559
  29.86296,      0.99594
  29.88276,      0.99628
  29.90257,      0.99656
  29.92237,      0.99671
  29.94218,      0.99669
  29.96198,      0.99655
  29.98178,      0.99636
  30.00159,      0.99624
  30.02139,      0.99626
  30.04120,      0.99653
  30.06100,      0.99712
  30.08081,      0.99798
  30.10061,      0.99898
  30.12042,      0.99998
  30.14022,      1.00087
  30.16002,      1.00153
  30.17983,      1.00198
  30.19963,      1.00232
  30.21944,      1.00264
  30.23924,      1.00304
  30.25905,      1.00359
  30.27885,      1.00423
  30.29865,      1.00487
  30.31846,      1.00543
  30.33826,      1.00580
  30.35807,      1.00593
  30.37787,      1.00586
  30.39768,      1.00569
  30.41748,      1.00554
  30.43729,      1.00549
  30.45709,      1.00567
  30.47689,      1.00614
  30.49670,      1.00682
  30.51650,      1.00754
  30.53631,      1.00812
  30.55611,      1.00840
  30.57592,      1.00834
  30.59572,      1.00804
  30.61553,      1.00762
  30.63533,      1.00720
  30.65513,      1.00690
  30.67494,      1.00683
  30.69474,      1.00708
  30.71455,      1.00760
  30.73435,      1.00834
  30.75416,      1.00920
  30.77396,      1.01011
  30.79376,      1.01102
  30.81357,      1.01186
  30.83337,      1.01260
  30.85318,      1.01322
  30.87298,      1.01369
  30.89279,      1.01398
  30.91259,      1.01411
  30.93240,      1.01408
  30.95220,      1.01392
  30.97200,      1.01362
  30.99181,      1.01322
