##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,1 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,1
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9800
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),117.761,1.3,250.0,0.60,10.2,1.084,50865869.1,2.088
2,25.0,Standard + p.c.(l),116.754,1.2,250.0,0.60,10.2,1.077,50865869.1,2.042
3,25.0,Standard + p.c.(l),117.644,1.3,250.0,0.60,10.2,1.071,50865869.1,1.931
#Mean,25.0,,117.386,,,,,,,
#Std_Dev,0.0,,0.551,,,,,,,
4,40.0,Standard + p.c.(l),111.575,1.2,250.0,0.60,10.6,1.486,50865869.1,1.91
5,40.0,Standard + p.c.(l),111.152,1.2,250.0,0.60,10.8,1.52,50865869.1,2.097
6,40.0,Standard + p.c.(l),111.940,1.2,250.0,0.60,10.5,1.505,50865869.1,1.918
#Mean,40.0,,111.556,,,,,,,
#Std_Dev,0.0,,0.394,,,,,,,
7,60.0,Standard + p.c.(l),103.407,1.2,250.0,0.60,11.5,2.192,50865869.1,1.955
8,60.0,Standard + p.c.(l),103.970,0.9,250.0,0.60,11.5,2.176,50865869.1,1.915
9,60.0,Standard + p.c.(l),104.030,1.1,250.0,0.60,11.4,2.243,50865869.1,2.096
#Mean,60.0,,103.802,,,,,,,
#Std_Dev,0.0,,0.344,,,,,,,
10,80.0,Standard + p.c.(l),96.063,1.0,250.0,0.60,12.4,3.149,50865869.1,1.9
11,80.0,Standard + p.c.(l),95.177,1.2,250.0,0.60,12.5,3.118,50865869.1,1.937
12,80.0,Standard + p.c.(l),95.562,1.1,250.0,0.60,12.5,3.171,50865869.1,1.905
#Mean,80.0,,95.601,,,,,,,
#Std_Dev,0.0,,0.444,,,,,,,
13,100.0,Standard + p.c.(l),89.400,1.1,250.0,0.60,13.3,4.203,50865869.1,1.96
14,100.0,Standard + p.c.(l),89.239,1.1,250.0,0.60,13.3,4.429,50865869.1,2.083
15,100.0,Standard + p.c.(l),89.164,1.2,250.0,0.60,13.2,4.255,50865869.1,1.947
#Mean,100.0,,89.268,,,,,,,
#Std_Dev,0.0,,0.121,,,,,,,
16,120.0,Standard + p.c.(l),83.597,1.1,250.0,0.60,14.2,5.735,50865869.1,2.058
17,120.0,Standard + p.c.(l),83.512,1.2,250.0,0.60,14.2,5.649,50865869.1,1.952
18,120.0,Standard + p.c.(l),83.715,1.1,250.0,0.60,14.2,5.796,50865869.1,2.123
#Mean,120.0,,83.608,,,,,,,
#Std_Dev,0.0,,0.102,,,,,,,
19,140.0,Standard + p.c.(l),78.561,1.1,250.0,0.60,15.2,7.442,50865869.1,2.092
