##Thermal_diffusivity

##General_information
#Database,set1.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 1
#Date,2022-12-07
#Material,3 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,3
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0100
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),5.274,0.3,250.0,0.60,231.8,0.9507,50865869.1,1.897
2,24.9,Standard + p.c.(l),5.235,0.3,250.0,0.60,234.0,0.9321,50865869.1,1.92
3,25.0,Standard + p.c.(l),5.228,0.3,250.0,0.60,233.2,0.971,50865869.1,2.03
#Mean,25.0,,5.246,,,,,,,
#Std_Dev,0.0,,0.025,,,,,,,
4,40.0,Standard + p.c.(l),5.144,0.3,250.0,0.60,235.5,1.318,50865869.1,2.087
5,40.0,Standard + p.c.(l),5.110,0.3,250.0,0.60,237.2,1.3,50865869.1,1.915
6,40.0,Standard + p.c.(l),5.124,0.3,250.0,0.60,236.7,1.33,50865869.1,2.065
#Mean,40.0,,5.126,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
7,60.0,Standard + p.c.(l),4.926,0.3,250.0,0.60,246.3,1.909,50865869.1,1.924
8,60.0,Standard + p.c.(l),4.909,0.3,250.0,0.60,247.5,1.909,50865869.1,1.916
9,60.0,Standard + p.c.(l),4.910,0.2,250.0,0.60,248.1,1.908,50865869.1,1.912
#Mean,60.0,,4.915,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
10,80.0,Standard + p.c.(l),4.684,0.2,250.0,0.60,258.4,2.676,50865869.1,1.915
11,80.0,Standard + p.c.(l),4.705,0.2,250.0,0.60,258.1,2.663,50865869.1,1.912
