##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,6 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,6
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.8600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.1,Standard + p.c.(l),5.197,0.3,250.0,0.60,210.5,1.041,50865869.1,2.113
2,25.1,Standard + p.c.(l),5.182,0.3,250.0,0.60,211.8,1.039,50865869.1,2.024
3,25.1,Standard + p.c.(l),5.202,0.3,250.0,0.60,211.2,1.004,50865869.1,1.936
#Mean,25.1,,5.194,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
4,40.0,Standard + p.c.(l),5.051,0.3,250.0,0.60,218.6,1.435,50865869.1,2.105
5,40.0,Standard + p.c.(l),5.059,0.3,250.0,0.60,216.5,1.454,50865869.1,2.11
6,40.0,Standard + p.c.(l),5.049,0.3,250.0,0.60,216.3,1.417,50865869.1,1.935
#Mean,40.0,,5.053,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
7,60.0,Standard + p.c.(l),4.857,0.3,250.0,0.60,225.0,2.14,50865869.1,2.138
8,60.0,Standard + p.c.(l),4.861,0.3,250.0,0.60,225.7,2.095,50865869.1,1.939
9,60.0,Standard + p.c.(l),4.865,0.3,250.0,0.60,222.9,2.148,50865869.1,2.111
#Mean,60.0,,4.861,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
10,80.0,Standard + p.c.(l),4.653,0.3,250.0,0.60,233.5,2.982,50865869.1,1.942
11,80.0,Standard + p.c.(l),4.670,0.3,250.0,0.60,232.8,3.024,50865869.1,2.111
12,80.0,Standard + p.c.(l),4.690,0.3,250.0,0.60,232.7,3.04,50865869.1,2.084
#Mean,80.0,,4.671,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
13,100.0,Standard + p.c.(l),4.539,0.3,250.0,0.60,239.5,4.109,50865869.1,2.083
14,100.0,Standard + p.c.(l),4.528,0.3,250.0,0.60,239.8,4.172,50865869.1,2.1
