##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,7 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,7
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),5.039,0.5,250.0,0.60,232.5,0.9817,50865869.1,1.941
2,25.0,Standard + p.c.(l),5.050,0.5,250.0,0.60,235.6,0.9886,50865869.1,1.951
3,25.0,Standard + p.c.(l),5.015,0.5,250.0,0.60,234.8,0.987,50865869.1,1.943
#Mean,25.0,,5.035,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
4,40.0,Standard + p.c.(l),4.897,0.4,250.0,0.60,238.7,1.361,50865869.1,1.94
5,40.0,Standard + p.c.(l),4.878,0.4,250.0,0.60,239.6,1.382,50865869.1,1.949
6,40.0,Standard + p.c.(l),4.912,0.4,250.0,0.60,239.1,1.405,50865869.1,1.949
#Mean,40.0,,4.896,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
7,60.0,Standard + p.c.(l),4.727,0.4,250.0,0.60,245.9,2.026,50865869.1,1.946
8,60.0,Standard + p.c.(l),4.732,0.4,250.0,0.60,247.2,2.05,50865869.1,1.939
9,60.0,Standard + p.c.(l),4.724,0.4,250.0,0.60,247.9,2.076,50865869.1,1.92
#Mean,60.0,,4.728,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
10,80.0,Standard + p.c.(l),4.538,0.4,250.0,0.60,257.3,2.891,50865869.1,1.935
11,80.0,Standard + p.c.(l),4.540,0.4,250.0,0.60,256.4,2.943,50865869.1,1.928
12,80.0,Standard + p.c.(l),4.525,0.3,250.0,0.60,257.5,2.961,50865869.1,1.927
#Mean,80.0,,4.534,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
13,100.0,Standard + p.c.(l),4.367,0.4,250.0,0.60,265.9,3.899,50865869.1,1.953
14,100.0,Standard + p.c.(l),4.370,0.4,250.0,0.60,266.2,3.944,50865869.1,1.899
15,100.0,Standard + p.c.(l),4.372,0.4,250.0,0.60,266.2,3.992,50865869.1,1.916
#Mean,100.0,,4.370,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
16,120.0,Standard + p.c.(l),4.233,0.4,250.0,0.60,274.0,5.308,50865869.1,2.101
17,120.0,Standard + p.c.(l),4.232,0.4,250.0,0.60,273.7,5.225,50865869.1,1.908
18,120.0,Standard + p.c.(l),4.237,0.4,250.0,0.60,273.6,5.227,50865869.1,1.925
#Mean,120.0,,4.234,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
19,140.0,Standard + p.c.(l),4.106,0.4,250.0,0.60,283.1,6.821,50865869.1,1.927
20,140.0,Standard + p.c.(l),4.110,0.4,250.0,0.60,282.4,6.635,50865869.1,1.956
21,140.0,Standard + p.c.(l),4.114,0.4,250.0,0.60,282.7,6.76,50865869.1,1.938
#Mean,140.0,,4.110,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
22,160.0,Standard + p.c.(l),4.003,0.3,250.0,0.60,289.6,8.707,50865869.1,2.115
23,160.0,Standard + p.c.(l),4.004,0.3,250.0,0.60,289.3,6.641,38552456.1,2.105
24,160.0,Standard + p.c.(l),3.997,0.3,250.0,0.60,289.5,6.426,38552456.1,1.933
#Mean,160.0,,4.001,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
25,180.0,Standard + p.c.(l),3.894,0.3,250.0,0.60,297.4,8.031,38552456.1,1.925
26,180.0,Standard + p.c.(l),3.896,0.3,250.0,0.60,297.1,6.682,31603720.7,2.086
27,180.0,Standard + p.c.(l),3.893,0.3,250.0,0.60,296.9,6.562,31603720.7,1.923
#Mean,180.0,,3.894,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
28,200.0,Standard + p.c.(l),3.795,0.3,250.0,0.60,304.3,8.026,31603720.7,2.073
29,200.0,Standard + p.c.(l),3.794,0.3,250.0,0.60,304.3,6.622,26196801.8,1.909
30,200.0,Standard + p.c.(l),3.800,0.3,250.0,0.60,304.2,6.501,26196801.8,1.922
#Mean,200.0,,3.796,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
31,220.0,Standard + p.c.(l),3.710,0.3,250.0,0.60,310.7,7.858,26196801.8,2.068
32,220.0,Standard + p.c.(l),3.715,0.3,250.0,0.60,311.4,6.617,22341870.1,1.945
33,220.0,Standard + p.c.(l),3.714,0.3,250.0,0.60,310.7,6.613,22341870.1,1.911
#Mean,220.0,,3.713,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
34,240.0,Standard + p.c.(l),3.636,0.3,250.0,0.60,317.6,7.767,22341870.1,1.944
35,240.0,Standard + p.c.(l),3.641,0.3,250.0,0.60,317.0,6.819,19036860.4,2.036
36,240.0,Standard + p.c.(l),3.640,0.3,250.0,0.60,317.0,6.544,19036860.4,1.947
#Mean,240.0,,3.639,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
37,260.0,Standard + p.c.(l),3.565,0.3,250.0,0.60,322.8,7.398,19036860.4,1.939
38,260.0,Standard + p.c.(l),3.569,0.3,250.0,0.60,323.0,7.609,19036860.4,2.061
39,260.0,Standard + p.c.(l),3.566,0.3,250.0,0.60,323.4,7.459,19036860.4,1.914
#Mean,260.0,,3.567,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
40,280.0,Standard + p.c.(l),3.581,0.5,250.0,0.60,323.7,7.464,19036860.4,2.102
41,280.0,Standard + p.c.(l),3.584,0.5,250.0,0.60,323.7,7.493,19036860.4,2.092
42,280.0,Standard + p.c.(l),3.583,0.5,250.0,0.60,323.7,7.219,19036860.4,1.94
#Mean,280.0,,3.583,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
43,300.0,Standard + p.c.(l),3.558,0.6,250.0,0.60,325.4,8.817,19036860.4,2.081
44,300.0,Standard + p.c.(l),3.564,0.6,250.0,0.60,324.9,6.633,14468514.4,2.117
45,300.0,Standard + p.c.(l),3.563,0.6,250.0,0.60,325.1,6.706,14468514.4,2.087
#Mean,300.0,,3.562,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
46,320.0,Standard + p.c.(l),3.494,0.5,250.0,0.60,330.4,7.942,14468514.4,2.114
47,320.0,Standard + p.c.(l),3.494,0.5,250.0,0.60,330.2,6.665,12222670.9,2.045
48,320.0,Standard + p.c.(l),3.494,0.5,250.0,0.60,330.3,6.596,12222670.9,1.925
#Mean,320.0,,3.494,,,,,,,
#Std_Dev,0.0,,0.000,,,,,,,
49,340.0,Standard + p.c.(l),3.414,0.3,250.0,0.60,334.5,7.476,12222670.9,1.923
50,340.0,Standard + p.c.(l),3.422,0.3,250.0,0.60,333.7,7.439,12222670.9,1.922
51,340.0,Standard + p.c.(l),3.429,0.3,250.0,0.60,333.0,7.491,12222670.9,1.93
#Mean,340.0,,3.422,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
52,360.0,Standard + p.c.(l),3.598,0.6,250.0,0.60,320.5,7.077,12222670.9,2.123
53,360.0,Standard + p.c.(l),3.617,0.6,250.0,0.60,321.0,6.83,12222670.9,1.936
54,360.0,Standard + p.c.(l),3.615,0.6,250.0,0.60,320.3,6.853,12222670.9,1.916
#Mean,360.0,,3.610,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
55,380.0,Standard + p.c.(l),3.625,0.7,250.0,0.60,319.7,7.992,12222670.9,2.077
56,380.0,Standard + p.c.(l),3.657,0.7,250.0,0.60,318.7,6.602,10166133.4,1.932
57,380.0,Standard + p.c.(l),3.651,0.7,250.0,0.60,318.1,6.717,10166133.4,1.91
#Mean,380.0,,3.644,,,,,,,
#Std_Dev,0.0,,0.017,,,,,,,
58,400.0,Standard + p.c.(l),3.581,0.7,250.0,0.60,322.8,7.883,10166133.4,1.93
59,400.0,Standard + p.c.(l),3.588,0.7,250.0,0.60,323.2,6.751,8624317.0,1.903
60,400.0,Standard + p.c.(l),3.583,0.7,250.0,0.60,323.3,6.59,8624317.0,1.94
#Mean,400.0,,3.584,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
61,420.0,Standard + p.c.(l),3.524,0.6,250.0,0.60,327.2,7.486,8624317.0,1.937
62,420.0,Standard + p.c.(l),3.525,0.6,250.0,0.60,327.8,7.831,8624317.0,2.066
63,420.0,Standard + p.c.(l),3.520,0.6,250.0,0.60,328.6,6.537,7360199.6,1.925
#Mean,420.0,,3.523,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
64,440.0,Standard + p.c.(l),3.431,0.5,250.0,0.60,334.5,7.312,7360199.6,1.909
65,440.0,Standard + p.c.(l),3.422,0.5,250.0,0.60,334.9,7.358,7360199.6,1.897
66,440.0,Standard + p.c.(l),3.437,0.5,250.0,0.60,334.5,7.46,7360199.6,2.099
#Mean,440.0,,3.430,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
67,460.0,Standard + p.c.(l),3.357,0.5,250.0,0.60,340.6,8.218,7360199.6,2.081
68,460.0,Standard + p.c.(l),3.362,0.5,250.0,0.60,340.0,6.555,6057751.5,1.934
69,460.0,Standard + p.c.(l),3.362,0.5,250.0,0.60,340.0,6.778,6057751.5,2.043
#Mean,460.0,,3.360,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
70,480.0,Standard + p.c.(l),3.300,0.4,250.0,0.60,344.8,7.182,6057751.5,2.086
71,480.0,Standard + p.c.(l),3.296,0.4,250.0,0.60,344.6,7.425,6057751.5,2.095
72,480.0,Standard + p.c.(l),3.306,0.4,250.0,0.60,344.6,7.184,6057751.5,1.941
#Mean,480.0,,3.300,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
73,500.0,Standard + p.c.(l),3.248,0.3,250.0,0.60,349.1,6.477,5086586.9,1.924
