##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,01 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,01
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),4.225,0.6,250.0,0.60,124.2,1.306,50865869.1,1.952
2,25.0,Standard + p.c.(l),4.222,0.5,250.0,0.60,123.7,1.362,50865869.1,2.102
3,25.1,Standard + p.c.(l),4.207,0.5,250.0,0.60,124.4,1.35,50865869.1,1.922
#Mean,25.0,,4.218,,,,,,,
#Std_Dev,0.1,,0.010,,,,,,,
4,40.0,Standard + p.c.(l),4.115,0.5,250.0,0.60,127.3,1.849,50865869.1,2.082
5,40.0,Standard + p.c.(l),4.112,0.5,250.0,0.60,127.9,1.856,50865869.1,1.917
6,40.0,Standard + p.c.(l),4.122,0.5,250.0,0.60,128.1,1.876,50865869.1,1.917
#Mean,40.0,,4.116,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
7,60.0,Standard + p.c.(l),3.976,0.5,250.0,0.60,132.2,2.785,50865869.1,2.074
8,60.0,Standard + p.c.(l),3.973,0.5,250.0,0.60,131.1,2.752,50865869.1,2.108
9,60.0,Standard + p.c.(l),3.973,0.5,250.0,0.60,132.1,2.681,50865869.1,1.958
#Mean,60.0,,3.974,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
10,80.0,Standard + p.c.(l),3.837,0.5,250.0,0.60,136.9,3.896,50865869.1,1.926
11,80.0,Standard + p.c.(l),3.838,0.5,250.0,0.60,137.0,3.826,50865869.1,1.939
12,80.0,Standard + p.c.(l),3.836,0.5,250.0,0.60,137.0,3.815,50865869.1,1.948
#Mean,80.0,,3.837,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
13,100.0,Standard + p.c.(l),3.668,0.5,250.0,0.60,142.8,5.13,50865869.1,1.939
14,100.0,Standard + p.c.(l),3.646,0.6,250.0,0.60,143.1,5.133,50865869.1,1.967
15,100.0,Standard + p.c.(l),3.653,0.6,250.0,0.60,142.8,5.05,50865869.1,1.938
#Mean,100.0,,3.656,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
16,120.0,Standard + p.c.(l),3.516,0.6,250.0,0.60,148.7,6.7,50865869.1,2.087
17,120.0,Standard + p.c.(l),3.510,0.6,250.0,0.60,149.2,6.692,50865869.1,1.914
18,120.0,Standard + p.c.(l),3.517,0.6,250.0,0.60,148.8,6.652,50865869.1,2.062
#Mean,120.0,,3.515,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
19,140.0,Standard + p.c.(l),3.383,0.6,250.0,0.60,155.1,8.488,50865869.1,1.938
20,140.0,Standard + p.c.(l),3.385,0.6,250.0,0.60,155.0,6.139,36159550.8,1.935
21,140.0,Standard + p.c.(l),3.385,0.6,250.0,0.60,154.8,6.16,36159550.8,1.917
#Mean,140.0,,3.384,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
22,160.0,Standard + p.c.(l),3.296,0.5,250.0,0.60,158.8,7.87,36159550.8,2.116
23,160.0,Standard + p.c.(l),3.269,0.6,250.0,0.60,159.1,5.878,27942788.1,1.958
24,160.0,Standard + p.c.(l),3.274,0.6,250.0,0.60,158.7,6.101,27942788.1,2.115
#Mean,160.0,,3.280,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
25,180.0,Standard + p.c.(l),3.185,0.6,250.0,0.60,163.3,7.419,27942788.1,1.938
26,180.0,Standard + p.c.(l),3.186,0.6,250.0,0.60,163.2,5.962,22873801.3,1.942
27,180.0,Standard + p.c.(l),3.186,0.6,250.0,0.60,163.0,6.2,22873801.3,2.09
#Mean,180.0,,3.186,,,,,,,
#Std_Dev,0.0,,0.000,,,,,,,
28,200.0,Standard + p.c.(l),3.082,0.5,250.0,0.60,168.4,7.297,22873801.3,1.936
29,200.0,Standard + p.c.(l),3.082,0.5,250.0,0.60,168.4,6.225,19281704.1,1.939
30,200.0,Standard + p.c.(l),3.089,0.5,250.0,0.60,168.1,6.31,19281704.1,2.09
#Mean,200.0,,3.085,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
31,220.0,Standard + p.c.(l),3.005,0.5,250.0,0.60,172.2,7.687,19281704.1,2.121
32,220.0,Standard + p.c.(l),2.998,0.5,250.0,0.60,172.8,6.127,15551931.2,1.913
33,220.0,Standard + p.c.(l),2.999,0.5,250.0,0.60,172.6,6.166,15551931.2,1.894
#Mean,220.0,,3.001,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
34,240.0,Standard + p.c.(l),2.964,0.5,250.0,0.60,174.8,7.2,15551931.2,1.916
35,240.0,Standard + p.c.(l),2.963,0.5,250.0,0.60,174.9,6.274,13424209.0,1.918
36,240.0,Standard + p.c.(l),2.969,0.4,250.0,0.60,174.3,6.075,13424209.0,1.946
#Mean,240.0,,2.965,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
37,260.0,Standard + p.c.(l),2.937,0.4,250.0,0.60,176.3,7.249,13424209.0,2.081
38,260.0,Standard + p.c.(l),2.936,0.4,250.0,0.60,176.3,6.026,11452937.0,1.948
39,260.0,Standard + p.c.(l),2.939,0.4,250.0,0.60,176.1,6.105,11452937.0,2.073
#Mean,260.0,,2.938,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
40,280.0,Standard + p.c.(l),2.921,0.4,250.0,0.60,177.1,6.933,11452937.0,2.11
41,280.0,Standard + p.c.(l),2.898,0.5,250.0,0.60,177.6,6.822,11452937.0,1.926
42,280.0,Standard + p.c.(l),2.901,0.5,250.0,0.60,177.4,6.703,11452937.0,1.923
#Mean,280.0,,2.907,,,,,,,
#Std_Dev,0.0,,0.013,,,,,,,
43,300.0,Standard + p.c.(l),2.881,0.5,250.0,0.60,178.7,7.146,11452937.0,2.073
44,300.0,Standard + p.c.(l),2.910,0.6,250.0,0.60,178.6,7.27,11452937.0,2.148
45,300.0,Standard + p.c.(l),2.913,0.6,250.0,0.60,178.7,6.077,9812556.2,1.943
#Mean,300.0,,2.901,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
46,320.0,Standard + p.c.(l),2.910,0.6,250.0,0.60,179.7,6.765,9812556.2,2.095
47,320.0,Standard + p.c.(l),2.866,0.6,250.0,0.60,180.0,6.743,9812556.2,1.961
48,320.0,Standard + p.c.(l),2.871,0.6,250.0,0.60,179.6,6.871,9812556.2,1.93
#Mean,320.0,,2.882,,,,,,,
#Std_Dev,0.0,,0.024,,,,,,,
49,340.0,Standard + p.c.(l),2.997,1.1,250.0,0.60,181.3,7.751,9812556.2,1.938
50,340.0,Standard + p.c.(l),2.942,0.5,250.0,0.60,177.3,6.022,7512738.6,1.943
51,340.0,Standard + p.c.(l),2.986,0.5,250.0,0.60,176.9,6.07,7512738.6,1.928
#Mean,340.0,,2.975,,,,,,,
#Std_Dev,0.0,,0.029,,,,,,,
52,360.0,Standard + p.c.(l),3.200,0.4,250.0,0.60,161.2,7.419,7512738.6,2.132
53,360.0,Standard + p.c.(l),3.213,0.4,250.0,0.60,160.8,6.306,6477820.4,2.036
54,360.0,Standard + p.c.(l),3.229,0.4,250.0,0.60,160.1,6.135,6477820.4,1.931
#Mean,360.0,,3.214,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
55,380.0,Standard + p.c.(l),3.781,0.2,250.0,0.60,136.0,7.053,6477820.4,2.092
56,380.0,Standard + p.c.(l),3.797,0.2,250.0,0.60,136.1,6.933,6477820.4,1.971
57,380.0,Standard + p.c.(l),3.816,0.2,250.0,0.60,135.1,7.276,6477820.4,2.08
#Mean,380.0,,3.798,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
58,400.0,Standard + p.c.(l),4.076,0.2,250.0,0.60,126.0,8.435,6477820.4,2.038
59,400.0,Standard + p.c.(l),4.080,0.2,250.0,0.60,126.1,6.452,5006406.3,1.893
60,400.0,Standard + p.c.(l),4.084,0.2,250.0,0.60,126.0,6.475,5006406.3,2.091
#Mean,400.0,,4.080,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
61,420.0,Standard + p.c.(l),4.105,0.2,250.0,0.60,125.2,7.049,5006406.3,2.087
62,420.0,Standard + p.c.(l),4.100,0.2,250.0,0.60,125.4,6.987,5006406.3,1.938
63,420.0,Standard + p.c.(l),4.104,0.2,250.0,0.60,125.2,7.257,5006406.3,2.03
#Mean,420.0,,4.103,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
64,440.0,Standard + p.c.(l),4.105,0.2,250.0,0.60,125.4,7.59,5006406.3,1.945
65,440.0,Standard + p.c.(l),4.108,0.2,250.0,0.60,125.1,6.658,4283606.3,2.08
66,440.0,Standard + p.c.(l),4.105,0.2,250.0,0.60,125.2,6.708,4283606.3,2.059
#Mean,440.0,,4.106,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
67,460.0,Standard + p.c.(l),4.118,0.2,250.0,0.60,124.8,7.356,4283606.3,2.061
68,460.0,Standard + p.c.(l),4.116,0.2,250.0,0.60,124.8,7.207,4283606.3,2.09
69,460.0,Standard + p.c.(l),4.113,0.2,250.0,0.60,125.0,7.202,4283606.3,1.916
#Mean,460.0,,4.116,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
70,480.0,Standard + p.c.(l),4.127,0.2,250.0,0.60,124.4,7.985,4283606.3,2.125
71,480.0,Standard + p.c.(l),4.122,0.2,250.0,0.60,124.5,6.479,3511524.7,2.044
72,480.0,Standard + p.c.(l),4.122,0.2,250.0,0.60,124.6,6.313,3511524.7,1.944
#Mean,480.0,,4.124,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
73,500.0,Standard + p.c.(l),4.141,0.2,250.0,0.60,124.1,7.178,3515748.8,2.056
74,500.0,Standard + p.c.(l),4.135,0.1,250.0,0.60,124.0,7.069,3515748.8,2.098
75,500.0,Standard + p.c.(l),4.126,0.1,250.0,0.60,124.3,7.026,3515748.8,1.928
#Mean,500.0,,4.134,,,,,,,
#Std_Dev,0.0,,0.008,,,,,,,
76,520.0,Standard + p.c.(l),4.146,0.1,250.0,0.60,123.7,7.53,3515748.8,2.127
77,520.0,Standard + p.c.(l),4.141,0.1,250.0,0.60,123.7,6.639,3035837.9,2.1
78,520.0,Standard + p.c.(l),4.135,0.1,250.0,0.60,124.0,6.454,3035837.9,1.931
#Mean,520.0,,4.141,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
79,540.0,Standard + p.c.(l),4.155,0.1,250.0,0.60,123.2,6.978,3035837.9,1.929
80,540.0,Standard + p.c.(l),4.151,0.1,250.0,0.60,123.1,6.841,3035837.9,1.938
81,540.0,Standard + p.c.(l),4.153,0.1,250.0,0.60,123.2,6.786,3035837.9,1.95
#Mean,540.0,,4.153,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
82,560.0,Standard + p.c.(l),4.180,0.1,250.0,0.60,122.4,7.57,3035837.9,2.049
