##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,03 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,03
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.5900
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),3.539,3.4,250.0,0.60,93.1,1.445,50865869.1,1.894
2,25.0,Standard + p.c.(l),3.581,3.3,250.0,0.60,91.4,1.487,50865869.1,2.055
3,25.0,Standard + p.c.(l),3.523,3.3,250.0,0.60,93.5,1.45,50865869.1,1.871
#Mean,25.0,,3.547,,,,,,,
#Std_Dev,0.0,,0.030,,,,,,,
4,40.0,Standard + p.c.(l),3.362,3.4,250.0,0.60,98.9,2.065,50865869.1,2.031
5,40.0,Standard + p.c.(l),3.396,3.4,250.0,0.60,97.7,2.053,50865869.1,2.021
6,40.0,Standard + p.c.(l),3.371,3.3,250.0,0.60,98.4,1.988,50865869.1,1.885
#Mean,40.0,,3.376,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
7,60.0,Standard + p.c.(l),3.122,3.6,250.0,0.60,107.8,2.884,50865869.1,2.054
8,60.0,Standard + p.c.(l),2.939,3.4,250.0,0.60,109.3,2.86,50865869.1,1.9
9,60.0,Standard + p.c.(l),3.003,3.6,250.0,0.60,109.4,2.829,50865869.1,1.903
#Mean,60.0,,3.021,,,,,,,
#Std_Dev,0.0,,0.093,,,,,,,
10,80.0,Standard + p.c.(l),2.824,3.6,250.0,0.60,117.4,4.075,50865869.1,2.076
11,80.0,Standard + p.c.(l),2.841,3.6,250.0,0.60,116.5,4.208,50865869.1,2.059
12,80.0,Standard + p.c.(l),2.821,3.6,250.0,0.60,117.7,4.029,50865869.1,1.928
#Mean,80.0,,2.829,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
13,100.0,Standard + p.c.(l),2.786,3.5,250.0,0.60,119.4,5.729,50865869.1,2.07
