##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P1 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P1
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.2000
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),0.917,0.7,250.0,0.60,1353.8,0.7036,50865869.1,2.02
2,25.0,Standard + p.c.(l),0.917,0.7,250.0,0.60,1358.7,0.6889,50865869.1,1.877
3,25.0,Standard + p.c.(l),0.908,0.8,250.0,0.60,1371.4,0.6917,50865869.1,1.9
#Mean,25.0,,0.914,,,,,,,
#Std_Dev,0.0,,0.005,,,,,,,
4,40.0,Standard + p.c.(l),0.868,0.5,250.0,0.60,1404.0,1.016,50865869.1,2.05
5,40.0,Standard + p.c.(l),0.882,0.5,250.0,0.60,1385.8,1.01,50865869.1,2.035
6,40.0,Standard + p.c.(l),0.874,0.5,250.0,0.60,1420.1,0.9678,50865869.1,1.889
#Mean,40.0,,0.875,,,,,,,
#Std_Dev,0.0,,0.007,,,,,,,
7,60.0,Standard + p.c.(l),0.817,0.4,250.0,0.60,1516.3,1.439,50865869.1,2.004
8,60.0,Standard + p.c.(l),0.814,0.5,250.0,0.60,1512.9,1.449,50865869.1,2.054
9,60.0,Standard + p.c.(l),0.805,0.5,250.0,0.60,1521.5,1.412,50865869.1,1.911
#Mean,60.0,,0.812,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
10,80.0,Standard + p.c.(l),0.719,0.4,250.0,0.60,1702.5,1.845,50865869.1,2.041
11,80.0,Standard + p.c.(l),0.720,0.4,250.0,0.60,1704.0,1.872,50865869.1,2.052
12,80.0,Standard + p.c.(l),0.725,0.4,250.0,0.60,1694.2,1.885,50865869.1,2.09
#Mean,80.0,,0.721,,,,,,,
