##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P2 - C
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P2
#Type,#Single_layer
#Sample position,C
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.8500
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.0,Standard + p.c.(l),1.467,0.6,250.0,0.60,705.7,0.7952,50865869.1,1.889
2,25.0,Standard + p.c.(l),1.501,0.6,250.0,0.60,700.4,0.8045,50865869.1,2.064
3,25.0,Standard + p.c.(l),1.491,0.6,250.0,0.60,702.5,0.7859,50865869.1,2.029
#Mean,25.0,,1.486,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
4,40.0,Standard + p.c.(l),1.427,0.5,250.0,0.60,742.7,1.079,50865869.1,1.9
5,40.0,Standard + p.c.(l),1.417,0.4,250.0,0.60,741.7,1.143,50865869.1,2.004
6,40.0,Standard + p.c.(l),1.417,0.4,250.0,0.60,734.6,1.131,50865869.1,2.029
#Mean,40.0,,1.420,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
7,60.0,Standard + p.c.(l),1.319,0.3,250.0,0.60,786.2,1.65,50865869.1,2.015
8,60.0,Standard + p.c.(l),1.317,1.1,250.0,0.60,811.9,1.649,50865869.1,2.038
9,60.0,Standard + p.c.(l),1.316,1.2,250.0,0.60,792.2,1.642,50865869.1,2.051
#Mean,60.0,,1.317,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
10,80.0,Standard + p.c.(l),1.169,0.9,250.0,0.60,904.3,2.182,50865869.1,2.068
11,80.0,Standard + p.c.(l),1.186,0.3,250.0,0.60,876.3,2.115,50865869.1,1.895
12,80.0,Standard + p.c.(l),1.176,0.3,250.0,0.60,870.9,2.148,50865869.1,2.025
#Mean,80.0,,1.177,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
13,100.0,Standard + p.c.(l),1.038,0.2,250.0,0.60,981.4,2.901,50865869.1,1.923
14,100.0,Standard + p.c.(l),1.038,0.2,250.0,0.60,976.0,2.96,50865869.1,1.87
15,100.0,Standard + p.c.(l),1.042,0.2,250.0,0.60,980.0,3.02,50865869.1,2.062
#Mean,100.0,,1.039,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
16,120.0,Standard + p.c.(l),0.983,0.2,250.0,0.60,1020.5,3.995,50865869.1,1.911
17,120.0,Standard + p.c.(l),0.989,0.2,250.0,0.60,1016.6,4.193,50865869.1,2.077
18,120.0,Standard + p.c.(l),0.989,0.2,250.0,0.60,1024.0,4.064,50865869.1,1.91
#Mean,120.0,,0.987,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
19,140.0,Standard + p.c.(l),0.944,0.2,250.0,0.60,1067.2,5.396,50865869.1,1.895
20,140.0,Standard + p.c.(l),0.950,0.2,250.0,0.60,1063.4,5.371,50865869.1,1.874
21,140.0,Standard + p.c.(l),0.950,0.2,250.0,0.60,1061.1,5.399,50865869.1,1.914
#Mean,140.0,,0.948,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
22,160.0,Standard + p.c.(l),0.910,0.2,250.0,0.60,1093.2,7.081,50865869.1,2.014
23,160.0,Standard + p.c.(l),0.913,0.2,250.0,0.60,1096.3,7.185,50865869.1,2.059
24,160.0,Standard + p.c.(l),0.914,0.2,250.0,0.60,1094.4,6.877,50865869.1,1.911
#Mean,160.0,,0.913,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
25,180.0,Standard + p.c.(l),0.869,0.2,250.0,0.60,1129.5,9.122,50865869.1,2.007
26,180.0,Standard + p.c.(l),0.872,0.2,250.0,0.60,1127.7,7.671,43938256.8,1.928
27,180.0,Standard + p.c.(l),0.874,0.2,250.0,0.60,1127.6,7.865,43938256.8,2.047
#Mean,180.0,,0.872,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
28,200.0,Standard + p.c.(l),0.835,0.2,250.0,0.60,1155.2,9.994,43938256.8,2.072
29,200.0,Standard + p.c.(l),0.838,0.2,250.0,0.60,1159.9,8.017,36159550.8,1.907
30,200.0,Standard + p.c.(l),0.840,0.2,250.0,0.60,1158.9,7.944,36159550.8,1.899
#Mean,200.0,,0.838,,,,,,,
#Std_Dev,0.0,,0.003,,,,,,,
31,220.0,Standard + p.c.(l),0.802,0.2,250.0,0.60,1182.8,9.763,36159550.8,1.913
32,220.0,Standard + p.c.(l),0.807,0.2,250.0,0.60,1178.6,9.854,36159550.8,2.06
33,220.0,Standard + p.c.(l),0.809,0.2,250.0,0.60,1183.8,8.204,31290039.1,1.904
#Mean,220.0,,0.806,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
34,240.0,Standard + p.c.(l),0.783,0.2,250.0,0.60,1204.9,10.19,31290039.1,2.1
35,240.0,Standard + p.c.(l),0.782,0.2,250.0,0.60,1207.0,8.362,26483889.2,1.929
36,240.0,Standard + p.c.(l),0.784,0.2,250.0,0.60,1207.2,8.623,26483889.2,2.096
#Mean,240.0,,0.783,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
37,260.0,Standard + p.c.(l),0.753,0.2,250.0,0.60,1247.8,9.333,26483889.2,1.886
38,260.0,Standard + p.c.(l),0.754,0.2,250.0,0.60,1249.4,9.522,26483889.2,2.074
39,260.0,Standard + p.c.(l),0.757,0.3,250.0,0.60,1255.8,9.054,26483889.2,1.899
#Mean,260.0,,0.755,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
40,280.0,Standard + p.c.(l),0.742,0.3,250.0,0.60,1322.3,8.362,26483889.2,2.073
41,280.0,Standard + p.c.(l),0.671,0.8,250.0,0.60,1342.9,5.261,13220041.5,1.923
42,280.0,Standard + p.c.(l),0.706,0.3,250.0,0.60,1343.7,6.443,16674461.7,2.08
#Mean,280.0,,0.706,,,,,,,
#Std_Dev,0.0,,0.035,,,,,,,
43,300.0,Standard + p.c.(l),0.706,0.3,250.0,0.60,1403.7,7.579,22078252.0,2.033
44,300.0,Standard + p.c.(l),0.695,0.3,250.0,0.60,1405.9,8.003,22078252.0,2.059
