##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,P3 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,P3
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,3.0500
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
1,25.1,Standard + p.c.(l),1.236,0.6,250.0,0.60,930.3,0.7094,50865869.1,2.051
2,25.0,Standard + p.c.(l),1.255,0.7,250.0,0.60,933.9,0.692,50865869.1,2.044
3,25.0,Standard + p.c.(l),1.243,0.7,250.0,0.60,942.9,0.7113,50865869.1,2.051
#Mean,25.0,,1.245,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
4,40.0,Standard + p.c.(l),1.191,0.5,250.0,0.60,969.8,0.999,50865869.1,2.082
5,40.0,Standard + p.c.(l),1.202,0.4,250.0,0.60,960.8,0.9544,50865869.1,1.92
6,40.0,Standard + p.c.(l),1.195,0.5,250.0,0.60,953.0,0.9708,50865869.1,1.912
#Mean,40.0,,1.196,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
7,60.0,Standard + p.c.(l),1.118,0.3,250.0,0.60,1038.7,1.47,50865869.1,2.003
8,60.0,Standard + p.c.(l),1.119,0.3,250.0,0.60,1028.7,1.466,50865869.1,2.03
9,60.0,Standard + p.c.(l),1.126,0.3,250.0,0.60,1031.1,1.456,50865869.1,2.039
#Mean,60.0,,1.121,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
10,80.0,Standard + p.c.(l),1.031,0.3,250.0,0.60,1120.9,1.958,50865869.1,2.034
11,80.0,Standard + p.c.(l),1.030,0.3,250.0,0.60,1107.7,1.974,50865869.1,2.049
12,80.0,Standard + p.c.(l),1.028,0.3,250.0,0.60,1123.7,1.9,50865869.1,1.922
#Mean,80.0,,1.030,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
13,100.0,Standard + p.c.(l),0.906,0.3,250.0,0.60,1265.2,2.521,50865869.1,1.912
14,100.0,Standard + p.c.(l),0.899,0.2,250.0,0.60,1273.9,2.567,50865869.1,2.073
15,100.0,Standard + p.c.(l),0.905,0.2,250.0,0.60,1263.4,2.586,50865869.1,2.05
#Mean,100.0,,0.903,,,,,,,
#Std_Dev,0.0,,0.004,,,,,,,
16,120.0,Standard + p.c.(l),0.849,0.2,250.0,0.60,1330.2,3.432,50865869.1,2.03
17,120.0,Standard + p.c.(l),0.850,0.1,250.0,0.60,1335.8,3.453,50865869.1,2.034
18,120.0,Standard + p.c.(l),0.851,0.1,250.0,0.60,1337.3,3.536,50865869.1,2.048
#Mean,120.0,,0.850,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
19,140.0,Standard + p.c.(l),0.821,0.1,250.0,0.60,1372.7,4.515,50865869.1,2.032
20,140.0,Standard + p.c.(l),0.821,0.1,250.0,0.60,1375.5,4.579,50865869.1,2.038
21,140.0,Standard + p.c.(l),0.818,0.1,250.0,0.60,1376.7,4.449,50865869.1,1.9
#Mean,140.0,,0.820,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
22,160.0,Standard + p.c.(l),0.790,0.1,250.0,0.60,1423.2,5.699,50865869.1,1.903
23,160.0,Standard + p.c.(l),0.792,0.1,250.0,0.60,1422.8,5.731,50865869.1,1.872
24,160.0,Standard + p.c.(l),0.792,0.1,250.0,0.60,1416.2,5.697,50865869.1,1.893
#Mean,160.0,,0.791,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
25,180.0,Standard + p.c.(l),0.768,0.1,250.0,0.60,1454.6,7.383,50865869.1,2.046
26,180.0,Standard + p.c.(l),0.764,0.1,250.0,0.60,1459.4,7.36,50865869.1,2.045
27,180.0,Standard + p.c.(l),0.766,0.1,250.0,0.60,1461.8,7.272,50865869.1,1.894
#Mean,180.0,,0.766,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
28,200.0,Standard + p.c.(l),0.742,0.1,250.0,0.60,1491.8,9.001,50865869.1,2.037
29,200.0,Standard + p.c.(l),0.743,0.1,250.0,0.60,1494.8,8.868,50865869.1,2.067
30,200.0,Standard + p.c.(l),0.746,0.1,250.0,0.60,1489.5,8.917,50865869.1,2.059
#Mean,200.0,,0.744,,,,,,,
#Std_Dev,0.0,,0.002,,,,,,,
31,220.0,Standard + p.c.(l),0.720,0.1,250.0,0.60,1537.5,10.53,50865869.1,1.915
32,220.0,Standard + p.c.(l),0.723,0.1,250.0,0.60,1531.7,8.449,39601455.1,2.048
33,220.0,Standard + p.c.(l),0.721,0.1,250.0,0.60,1532.8,8.206,39601455.1,1.903
#Mean,220.0,,0.721,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
34,240.0,Standard + p.c.(l),0.696,0.1,250.0,0.60,1579.5,9.29,39601455.1,1.92
35,240.0,Standard + p.c.(l),0.696,0.1,250.0,0.60,1584.4,9.466,39601455.1,2.064
36,240.0,Standard + p.c.(l),0.695,0.1,250.0,0.60,1578.1,9.403,39601455.1,2.046
#Mean,240.0,,0.696,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
37,260.0,Standard + p.c.(l),0.659,0.1,250.0,0.60,1659.9,9.119,39601455.1,1.923
38,260.0,Standard + p.c.(l),0.660,0.1,250.0,0.60,1665.6,9.352,39601455.1,2.098
39,260.0,Standard + p.c.(l),0.660,0.1,250.0,0.60,1657.8,9.266,39601455.1,2.061
#Mean,260.0,,0.660,,,,,,,
#Std_Dev,0.0,,0.001,,,,,,,
40,280.0,Standard + p.c.(l),0.594,0.1,250.0,0.60,1841.7,5.105,19776086.4,1.893
41,280.0,Standard + p.c.(l),0.598,0.1,250.0,0.60,1825.8,4.221,16446827.4,1.903
42,280.0,Standard + p.c.(l),0.606,0.1,250.0,0.60,1809.3,8.155,33195603.0,1.925
#Mean,280.0,,0.599,,,,,,,
