T,alpha1,alpha2,alpha3,alpha_avg,min,max,k_avg
40,0.875,1.42,1.196,1.1636666666666666,0.875,1.42,1.8341925049721928
60,0.812,1.317,1.121,1.0833333333333333,0.812,1.317,1.8394269887675767
80,0.721,1.177,1.03,0.976,0.721,1.177,1.7742718226186034
100,0.647,1.0390000000000001,0.903,0.8630000000000001,0.647,1.0390000000000001,1.6696999672687793
120,0.623,0.987,0.85,0.82,0.623,0.987,1.679002711933315
140,0.603,0.948,0.82,0.7903333333333333,0.603,0.948,1.7037276671819912
160,0.586,0.9129999999999999,0.7909999999999999,0.7633333333333333,0.586,0.9129999999999999,1.7242680623772415
180,0.568,0.872,0.7659999999999999,0.7353333333333333,0.568,0.872,1.7331179615333807
200,0.552,0.838,0.7440000000000001,0.7113333333333335,0.552,0.838,1.7426729100156135
220,0.544,0.8059999999999999,0.721,0.6903333333333334,0.544,0.8059999999999999,1.7519546464339186
240,0.522,0.7829999999999999,0.696,0.6669999999999999,0.522,0.7829999999999999,1.7482074313782021
260,0.509,0.755,0.66,0.6413333333333333,0.509,0.755,1.7313221471880507
280,0.46399999999999997,0.706,0.599,0.5896666666666667,0.46399999999999997,0.706,1.6356001481762725
300,0.433,0.701,0.605,0.5796666666666667,0.433,0.701,1.6484880898849796
320,0.43799999999999994,0.6829999999999999,0.637,0.586,0.43799999999999994,0.6829999999999999,1.7052972384633034
340,0.441,0.7040000000000001,0.701,0.6153333333333334,0.441,0.7040000000000001,1.829160814523311
360,0.456,0.703,1.089,0.7493333333333334,0.456,1.089,2.2718262925026727
380,0.601,0.8909999999999999,1.392,0.9613333333333333,0.601,1.392,2.9683768443391774
400,0.8009999999999999,1.173,1.493,1.1556666666666666,0.8009999999999999,1.493,3.62967557895014
420,0.937,1.5759999999999998,1.537,1.3499999999999999,0.937,1.5759999999999998,4.307809439890065
440,0.986,1.7719999999999998,1.5819999999999999,1.4466666666666665,0.986,1.7719999999999998,4.685135357052341
460,1.004,1.7790000000000001,1.65,1.4776666666666667,1.004,1.7790000000000001,4.852276614418153
480,1.0390000000000001,1.845,1.715,1.5330000000000001,1.0390000000000001,1.845,5.099734645490974
500,1.102,1.952,1.794,1.6160000000000003,1.102,1.952,5.441725454127941
520,1.156,2.0580000000000003,1.874,1.6960000000000004,1.156,2.0580000000000003,5.776882940826621
540,1.236,2.122,1.9809999999999999,1.7796666666666665,1.236,2.122,6.127559251886495
560,1.25,2.176,2.0909999999999997,1.8389999999999997,1.25,2.176,6.396520936463864
580,1.319,2.253,2.175,1.9156666666666666,1.319,2.253,6.727418944382069
600,1.401,2.374,2.275,2.016666666666667,1.401,2.374,7.146629918664918
620,1.489,2.521,2.366,2.1253333333333333,1.489,2.521,7.596652511803136
640,1.571,2.63,2.4219999999999997,2.2076666666666664,1.571,2.63,7.95539409096932
660,1.63,2.727,2.526,2.294333333333333,1.63,2.727,8.331760583406314
680,1.744,2.887,2.628,2.4196666666666666,1.744,2.887,8.851559532350917
700,1.845,3.0380000000000003,2.74,2.541,1.845,3.0380000000000003,9.360445396954866
720,1.9469999999999998,3.225,2.888,2.686666666666666,1.9469999999999998,3.225,9.962939931705794
740,2.064,3.4010000000000002,3.013,2.826,2.064,3.4010000000000002,10.546097664511928
760,2.167,3.573,3.0780000000000003,2.939333333333334,2.167,3.573,11.03538111694995
780,2.334,3.7569999999999997,3.156,3.082333333333333,2.334,3.7569999999999997,11.63906546219197
800,2.416,3.8930000000000002,3.2769999999999997,3.1953333333333336,2.416,3.8930000000000002,12.13230596769005
820,2.48,4.05,3.3539999999999996,3.294666666666666,2.48,4.05,12.5754323511069
840,2.524,4.169,3.3939999999999997,3.3623333333333334,2.524,4.169,12.898476679283453
860,2.645,4.2589999999999995,3.457,3.453666666666667,2.645,4.2589999999999995,13.31288321630986
880,2.7,4.343999999999999,3.452,3.4986666666666664,2.7,4.343999999999999,13.548823380243096
900,2.7110000000000003,4.4110000000000005,3.4810000000000003,3.534333333333334,2.7110000000000003,4.4110000000000005,13.747765635511621
920,2.783,4.513999999999999,3.5410000000000004,3.6126666666666662,2.783,4.513999999999999,14.112405485073129
940,2.8110000000000004,4.521,3.5410000000000004,3.624333333333334,2.8110000000000004,4.521,14.215989275231568
960,2.721,4.553999999999999,3.536,3.603666666666667,2.721,4.553999999999999,14.19059587745045
980,2.93,4.662,3.543,3.7116666666666673,2.93,4.662,14.671247544283212
1000,2.87,4.68,3.575,3.7083333333333335,2.87,4.68,14.711513782163015
1020,2.927,4.748,3.569,3.7479999999999998,2.927,4.748,14.921084619031511
1040,2.977,4.748,3.5810000000000004,3.768666666666667,2.977,4.748,15.054122956425733
1060,2.9810000000000003,4.7669999999999995,3.5460000000000003,3.764666666666667,2.9810000000000003,4.7669999999999995,15.08720204642818
1080,3.003,4.796,3.54,3.779666666666667,3.003,4.796,15.19498513308467
1100,3.153,4.768,3.5669999999999997,3.829333333333333,3.153,4.768,15.441417702196814
1120,3.168,4.803999999999999,3.575,3.849,3.168,4.803999999999999,15.566251960416842
1140,3.2239999999999998,4.809,3.53,3.854333333333333,3.2239999999999998,4.809,15.632003727720361
1160,3.1719999999999997,4.888999999999999,3.585,3.882,3.1719999999999997,4.888999999999999,15.787350920064991
1180,3.2760000000000002,4.925,3.616,3.939,3.2760000000000002,4.925,16.061610475923125
