Temperature_C,AvgThermDiff_mm2_s,Uncertai95CI_mm2_s,PercenUncertai95CI,RandomUncertai_salpha,SystemUncertai_balpha,Temperature_C.1,AvgSpeciHeat_J_gK,Uncertai95CI_J_gK,PercenUncertai95CI.1,RandomUncertai_scp,SystemUncertai_bcp,Thermal Conductivity (W/mK),k
25,11.12775,1.322084802,11.88097146,0.441833443,0.16691625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.080633790393387
40,10.7695,1.278019309,11.86702548,0.427151978,0.1615425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.119672160526024
60,10.34125,1.2060219490000001,11.66224536,0.403607095,0.15511875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24153288202707
80,9.93725,1.154177527,11.61465724,0.38632458799999997,0.14905875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.099911784354685
100,9.558,1.120420692,11.72233409,0.374769346,0.14337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.751227704747816
120,9.20975,1.066536164,11.58051157,0.357097121,0.13814625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.249015597063096
140,8.89225,1.051239621,11.82197555,0.35141052100000003,0.13338375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.630559997397492
160,8.60375,1.020664789,11.86302239,0.34111309799999995,0.12905625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.923654805173191
180,8.32275,0.97824573,11.75387619,0.327146024,0.12484125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.11662430889278
200,8.07575,0.96474006,11.94613577,0.32225598,0.12113625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.27229539059538
220,7.837999999999999,0.932781182,11.90075507,0.311661041,0.11757000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.363896372418267
240,7.6375,0.9205701629999999,12.05329182,0.307296274,0.1145625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.455629335082858
