T,alpha,possible_k,min_k,max_k,mean_k
25.0,4.1850000000000014e-06,[4.0],3.5,4.5,4.0
40.0,4.0560000000000015e-06,[5.0],4.5,5.5,5.0
60.0,3.914000000000002e-06,[5.0],4.5,5.5,5.0
100.0,3.580000000000001e-06,[6.0],5.5,6.5,6.0
120.0,3.4489999999999987e-06,[6.0],5.5,6.5,6.0
140.0,3.2769999999999997e-06,[6.0],5.5,6.5,6.0
160.0,3.1699999999999993e-06,[6.0],5.5,6.5,6.0
180.0,3.0959999999999992e-06,[7.0],6.5,7.5,7.0
200.0,3.001e-06,[7.0],6.5,7.5,7.0
220.0,2.9360000000000003e-06,[7.0],6.5,7.5,7.0
240.0,2.885e-06,[7.0],6.5,7.5,7.0
260.0,2.836000000000001e-06,[7.0],6.5,7.5,7.0
280.0,2.8020000000000004e-06,[7.0],6.5,7.5,7.0
300.0,2.7929999999999998e-06,[7.0],6.5,7.5,7.0
320.0,2.836000000000001e-06,[7.0],6.5,7.5,7.0
340.0,2.974e-06,[8.0],7.5,8.5,8.0
360.0,3.185e-06,"[8.0, 9.0]",7.5,9.5,8.5
380.0,3.307e-06,[9.0],8.5,9.5,9.0
400.0,3.311e-06,[9.0],8.5,9.5,9.0
420.0,3.2800000000000008e-06,[9.0],8.5,9.5,9.0
440.0,3.249e-06,[9.0],8.5,9.5,9.0
460.0,3.217999999999999e-06,[9.0],8.5,9.5,9.0
480.0,3.2009999999999987e-06,[9.0],8.5,9.5,9.0
500.0,3.176e-06,[9.0],8.5,9.5,9.0
520.0,3.1650000000000006e-06,[9.0],8.5,9.5,9.0
540.0,3.148e-06,[9.0],8.5,9.5,9.0
560.0,3.1349999999999988e-06,[9.0],8.5,9.5,9.0
580.0,3.128000000000001e-06,[9.0],8.5,9.5,9.0
600.0,3.1389999999999987e-06,[9.0],8.5,9.5,9.0
620.0,3.126999999999999e-06,[9.0],8.5,9.5,9.0
640.0,3.115e-06,[9.0],8.5,9.5,9.0
660.0,3.1320000000000007e-06,[9.0],8.5,9.5,9.0
680.0,3.14e-06,[9.0],8.5,9.5,9.0
700.0,3.147e-06,[9.0],8.5,9.5,9.0
720.0,3.1650000000000006e-06,[9.0],8.5,9.5,9.0
740.0,3.177e-06,[9.0],8.5,9.5,9.0
760.0,3.213000000000001e-06,[9.0],8.5,9.5,9.0
780.0,3.214e-06,[9.0],8.5,9.5,9.0
800.0,3.221999999999999e-06,[9.0],8.5,9.5,9.0
820.0,3.2240000000000012e-06,[9.0],8.5,9.5,9.0
840.0,3.2319999999999993e-06,[9.0],8.5,9.5,9.0
860.0,3.2319999999999993e-06,[9.0],8.5,9.5,9.0
880.0,3.267999999999998e-06,[9.0],8.5,9.5,9.0
900.0,3.2929999999999992e-06,[9.0],8.5,9.5,9.0
920.0,3.2939999999999997e-06,[9.0],8.5,9.5,9.0
940.0,3.329999999999999e-06,"[9.0, 10.0]",8.5,10.5,9.5
960.0,3.3669999999999993e-06,"[9.0, 10.0]",8.5,10.5,9.5
980.0,3.446e-06,[10.0],9.5,10.5,10.0
1000.0,3.4009999999999993e-06,[10.0],9.5,10.5,10.0
1020.0,3.4729999999999983e-06,[10.0],9.5,10.5,10.0
1040.0,3.5000000000000004e-06,[10.0],9.5,10.5,10.0
1060.0,3.5510000000000004e-06,"[10.0, 11.0]",9.5,11.5,10.5
1080.0,3.580000000000001e-06,"[10.0, 11.0]",9.5,11.5,10.5
1100.0,3.6519999999999987e-06,"[10.0, 11.0]",9.5,11.5,10.5
1120.0,3.693e-06,[11.0],10.5,11.5,11.0
1140.0,3.737000000000001e-06,[11.0],10.5,11.5,11.0
1180.0,3.884e-06,"[11.0, 12.0]",10.5,12.5,11.5
