T,alpha,possible_k
25.0,5.245999999999999e-06,[6.0]
40.0,5.125999999999998e-06,[6.0]
60.0,4.915e-06,[7.0]
80.0,4.6930000000000015e-06,"[7.0, 8.0]"
100.0,4.516999999999999e-06,"[7.0, 8.0]"
120.0,4.3899999999999995e-06,"[8.0, 9.0]"
140.0,4.278000000000001e-06,"[8.0, 9.0]"
160.0,4.170000000000001e-06,"[9.0, 10.0]"
180.0,4.07e-06,"[9.0, 10.0]"
200.0,3.978999999999999e-06,"[9.0, 10.0]"
220.0,3.898999999999999e-06,"[9.0, 10.0]"
240.0,3.821e-06,"[9.0, 10.0]"
260.0,3.7499999999999984e-06,"[9.0, 10.0]"
280.0,3.66e-06,"[9.0, 10.0]"
300.0,3.5219999999999982e-06,"[9.0, 10.0]"
320.0,3.4449999999999988e-06,"[9.0, 10.0]"
340.0,3.4289999999999997e-06,[9.0]
360.0,3.4680000000000005e-06,"[9.0, 10.0]"
380.0,3.527e-06,"[9.0, 10.0]"
400.0,3.5439999999999994e-06,"[9.0, 10.0]"
420.0,3.5210000000000003e-06,"[9.0, 10.0]"
440.0,3.4839999999999996e-06,"[9.0, 10.0]"
460.0,3.4519999999999993e-06,"[9.0, 10.0]"
480.0,3.423e-06,"[9.0, 10.0]"
500.0,3.3919999999999995e-06,"[9.0, 10.0]"
520.0,3.3679999999999993e-06,"[9.0, 10.0]"
540.0,3.3520000000000003e-06,"[9.0, 10.0]"
560.0,3.3329999999999997e-06,"[9.0, 10.0]"
580.0,3.3180000000000003e-06,"[9.0, 10.0]"
600.0,3.314e-06,"[9.0, 10.0]"
620.0,3.297e-06,"[9.0, 10.0]"
640.0,3.298000000000001e-06,"[9.0, 10.0]"
660.0,3.294e-06,"[9.0, 10.0]"
680.0,3.288e-06,"[9.0, 10.0]"
700.0,3.2800000000000004e-06,"[9.0, 10.0]"
720.0,3.2779999999999985e-06,"[9.0, 10.0]"
740.0,3.2960000000000003e-06,[10.0]
760.0,3.31e-06,[10.0]
780.0,3.342999999999999e-06,[10.0]
800.0,3.3529999999999995e-06,[10.0]
820.0,3.3299999999999995e-06,[10.0]
840.0,3.3529999999999995e-06,[10.0]
860.0,3.319e-06,[10.0]
880.0,3.37e-06,"[10.0, 11.0]"
900.0,3.3599999999999987e-06,[10.0]
920.0,3.3439999999999997e-06,[10.0]
940.0,3.398e-06,"[10.0, 11.0]"
960.0,3.4289999999999997e-06,"[10.0, 11.0]"
980.0,3.4519999999999993e-06,"[10.0, 11.0]"
1000.0,3.5649999999999997e-06,[11.0]
1020.0,3.5959999999999995e-06,[11.0]
1040.0,3.6290000000000003e-06,"[11.0, 12.0]"
1060.0,3.6699999999999996e-06,"[11.0, 12.0]"
1080.0,3.722999999999999e-06,"[11.0, 12.0]"
1100.0,3.7689999999999994e-06,[12.0]
1120.0,3.833000000000001e-06,"[12.0, 13.0]"
1140.0,3.8919999999999985e-06,"[12.0, 13.0]"
1160.0,3.988999999999999e-06,"[12.0, 13.0]"
1180.0,4.065000000000001e-06,[13.0]
