T,mean_k,min_k,max_k
25.0,5.0,3.5,6.5
40.0,5.5,4.5,6.5
60.0,6.333333333333333,4.5,7.5
80.0,7.5,6.5,8.5
100.0,7.166666666666667,5.5,8.5
120.0,7.25,5.5,9.5
140.0,7.833333333333333,5.5,9.5
160.0,8.166666666666666,5.5,10.5
180.0,8.833333333333334,6.5,10.5
200.0,8.833333333333334,6.5,10.5
220.0,8.833333333333334,6.5,10.5
240.0,8.833333333333334,6.5,10.5
260.0,8.833333333333334,6.5,10.5
280.0,8.833333333333334,6.5,10.5
300.0,8.833333333333334,6.5,10.5
320.0,8.833333333333334,6.5,10.5
340.0,9.0,7.5,10.5
360.0,9.333333333333334,7.5,10.5
380.0,9.25,8.5,10.5
400.0,9.833333333333334,8.5,11.5
420.0,9.833333333333334,8.5,11.5
440.0,9.25,8.5,10.5
460.0,9.25,8.5,10.5
480.0,9.25,8.5,10.5
500.0,9.5,8.5,10.5
520.0,9.5,8.5,10.5
540.0,9.5,8.5,10.5
560.0,9.5,8.5,10.5
580.0,9.25,8.5,10.5
600.0,9.25,8.5,10.5
620.0,9.25,8.5,10.5
640.0,9.25,8.5,10.5
660.0,9.25,8.5,10.5
680.0,9.25,8.5,10.5
700.0,9.25,8.5,10.5
720.0,9.166666666666666,8.5,10.5
740.0,9.333333333333334,8.5,10.5
760.0,9.5,8.5,10.5
780.0,9.5,8.5,10.5
800.0,9.333333333333334,8.5,10.5
820.0,9.333333333333334,8.5,10.5
840.0,9.333333333333334,8.5,10.5
860.0,9.333333333333334,8.5,10.5
880.0,9.5,8.5,11.5
900.0,9.333333333333334,8.5,10.5
920.0,9.333333333333334,8.5,10.5
940.0,9.666666666666666,8.5,11.5
960.0,10.0,8.5,11.5
980.0,10.25,9.5,11.5
1000.0,10.5,9.5,11.5
1020.0,10.5,9.5,11.5
1040.0,10.75,9.5,12.5
1060.0,10.666666666666666,9.5,12.5
1080.0,10.666666666666666,9.5,12.5
1100.0,11.25,9.5,12.5
1120.0,11.75,10.5,13.5
1140.0,11.75,10.5,13.5
1160.0,11.75,10.5,13.5
1180.0,11.833333333333334,10.5,13.5
