scale,porosity,v_added_sim,v_added_meas,file_index
0.03,0.94,6.053623588911093e-06,6e-06,0
0.04,0.94,6.037412263951809e-06,6e-06,0
0.05,0.94,6.021200938992524e-06,6e-06,0
0.06000000000000001,0.94,6.0049896140332426e-06,6e-06,0
0.06999999999999999,0.94,5.9887782890739575e-06,6e-06,0
0.08,0.94,5.972566964114673e-06,6e-06,0
0.09,0.94,5.956355639155391e-06,6e-06,0
0.1,0.94,5.940144314196107e-06,6e-06,0
0.17,0.93,6.050921701417878e-06,6e-06,0
0.18000000000000002,0.93,6.0320084889653815e-06,6e-06,0
0.19,0.93,6.013095276512884e-06,6e-06,0
0.2,0.93,5.994182064060386e-06,6e-06,0
0.21,0.93,5.975268851607888e-06,6e-06,0
0.22,0.93,5.956355639155391e-06,6e-06,0
0.27,0.92,6.059027363897521e-06,6e-06,0
0.28,0.92,6.037412263951809e-06,6e-06,0
0.29000000000000004,0.92,6.015797164006097e-06,6e-06,0
0.3,0.92,5.994182064060386e-06,6e-06,0
0.31,0.92,5.972566964114675e-06,6e-06,0
0.32,0.92,5.950951864168964e-06,6e-06,0
0.36000000000000004,0.91,6.037412263951809e-06,6e-06,0
0.37,0.91,6.013095276512884e-06,6e-06,0
0.38,0.91,5.988778289073958e-06,6e-06,0
0.39,0.91,5.964461301635034e-06,6e-06,0
0.4,0.91,5.940144314196107e-06,6e-06,0
0.42,0.9,6.048219813924667e-06,6e-06,0
0.43,0.9,6.021200938992528e-06,6e-06,0
0.44,0.9,5.994182064060388e-06,6e-06,0
0.45,0.9,5.967163189128248e-06,6e-06,0
0.46,0.9,5.940144314196107e-06,6e-06,0
0.47,0.89,6.056325476404308e-06,6e-06,0
0.48,0.89,6.026604713978954e-06,6e-06,0
0.49,0.89,5.996883951553601e-06,6e-06,0
0.5,0.89,5.967163189128248e-06,6e-06,0
0.52,0.88,6.037412263951811e-06,6e-06,0
0.53,0.88,6.0049896140332426e-06,6e-06,0
0.54,0.88,5.972566964114676e-06,6e-06,0
0.55,0.88,5.940144314196107e-06,6e-06,0
0.56,0.87,6.0266047139789554e-06,6e-06,0
0.5700000000000001,0.87,5.9914801765671735e-06,6e-06,0
0.5800000000000001,0.87,5.956355639155392e-06,6e-06,0
0.59,0.86,6.032008488965382e-06,6e-06,0
0.6,0.86,5.994182064060388e-06,6e-06,0
0.61,0.86,5.956355639155392e-06,6e-06,0
0.62,0.85,6.021200938992528e-06,6e-06,0
0.63,0.85,5.980672626594318e-06,6e-06,0
0.64,0.85,5.940144314196107e-06,6e-06,0
0.64,0.8400000000000001,6.037412263951809e-06,6e-06,0
0.65,0.8400000000000001,5.994182064060386e-06,6e-06,0
0.66,0.8400000000000001,5.950951864168964e-06,6e-06,0
0.66,0.8300000000000001,6.042816038938238e-06,6e-06,0
0.67,0.8300000000000001,5.9968839515536004e-06,6e-06,0
0.68,0.8300000000000001,5.950951864168963e-06,6e-06,0
0.68,0.8200000000000001,6.037412263951809e-06,6e-06,0
0.6900000000000001,0.8200000000000001,5.988778289073958e-06,6e-06,0
0.7000000000000001,0.8200000000000001,5.940144314196107e-06,6e-06,0
0.7000000000000001,0.81,6.021200938992526e-06,6e-06,0
0.7100000000000001,0.8,6.048219813924665e-06,6e-06,0
0.7100000000000001,0.81,5.96986507662146e-06,6e-06,0
0.72,0.8,5.994182064060388e-06,6e-06,0
0.73,0.8,5.940144314196107e-06,6e-06,0
0.73,0.79,6.0130952765128855e-06,6e-06,0
0.74,0.79,5.956355639155392e-06,6e-06,0
0.74,0.78,6.026604713978954e-06,6e-06,0
0.75,0.78,5.967163189128248e-06,6e-06,0
0.75,0.77,6.034710376458596e-06,6e-06,0
0.76,0.77,5.972566964114676e-06,6e-06,0
0.76,0.76,6.037412263951811e-06,6e-06,0
0.77,0.76,5.972566964114673e-06,6e-06,0
0.77,0.75,6.034710376458595e-06,6e-06,0
0.78,0.74,6.0266047139789554e-06,6e-06,0
0.78,0.75,5.967163189128248e-06,6e-06,0
0.79,0.74,5.956355639155392e-06,6e-06,0
0.79,0.73,6.0130952765128855e-06,6e-06,0
0.8,0.72,5.994182064060388e-06,6e-06,0
0.8,0.7100000000000001,6.048219813924667e-06,6e-06,0
0.8,0.73,5.940144314196107e-06,6e-06,0
0.81,0.7000000000000001,6.021200938992526e-06,6e-06,0
0.81,0.7100000000000001,5.9698650766214615e-06,6e-06,0
0.8200000000000001,0.7000000000000001,5.940144314196107e-06,6e-06,0
0.8200000000000001,0.68,6.037412263951809e-06,6e-06,0
0.8200000000000001,0.6900000000000001,5.988778289073958e-06,6e-06,0
0.8300000000000001,0.66,6.042816038938238e-06,6e-06,0
0.8300000000000001,0.67,5.9968839515536004e-06,6e-06,0
0.8300000000000001,0.68,5.950951864168964e-06,6e-06,0
0.8400000000000001,0.65,5.994182064060388e-06,6e-06,0
0.8400000000000001,0.64,6.037412263951811e-06,6e-06,0
0.8400000000000001,0.66,5.9509518641689654e-06,6e-06,0
0.85,0.63,5.980672626594319e-06,6e-06,0
0.85,0.64,5.940144314196109e-06,6e-06,0
0.85,0.62,6.021200938992528e-06,6e-06,0
0.86,0.61,5.956355639155392e-06,6e-06,0
0.86,0.6,5.994182064060389e-06,6e-06,0
0.86,0.59,6.032008488965382e-06,6e-06,0
0.87,0.5800000000000001,5.956355639155392e-06,6e-06,0
0.87,0.56,6.026604713978956e-06,6e-06,0
0.87,0.5700000000000001,5.9914801765671735e-06,6e-06,0
0.88,0.53,6.004989614033245e-06,6e-06,0
0.88,0.54,5.9725669641146775e-06,6e-06,0
0.88,0.55,5.94014431419611e-06,6e-06,0
0.88,0.52,6.037412263951813e-06,6e-06,0
0.89,0.48,6.026604713978957e-06,6e-06,0
0.89,0.47,6.05632547640431e-06,6e-06,0
0.89,0.5,5.9671631891282505e-06,6e-06,0
0.89,0.49,5.996883951553604e-06,6e-06,0
0.9,0.42,6.0482198139246675e-06,6e-06,0
0.9,0.46,5.9401443141961115e-06,6e-06,0
0.9,0.43,6.0212009389925285e-06,6e-06,0
0.9,0.44,5.9941820640603895e-06,6e-06,0
0.9,0.45,5.9671631891282505e-06,6e-06,0
0.91,0.38,5.98877828907396e-06,6e-06,0
0.91,0.39,5.964461301635034e-06,6e-06,0
0.91,0.36000000000000004,6.037412263951809e-06,6e-06,0
0.91,0.37,6.0130952765128855e-06,6e-06,0
0.91,0.4,5.940144314196107e-06,6e-06,0
0.92,0.28,6.037412263951806e-06,6e-06,0
0.92,0.3,5.994182064060383e-06,6e-06,0
0.92,0.27,6.059027363897517e-06,6e-06,0
0.92,0.29000000000000004,6.015797164006095e-06,6e-06,0
0.92,0.31,5.972566964114673e-06,6e-06,0
0.92,0.32,5.9509518641689595e-06,6e-06,0
0.93,0.17,6.05092170141788e-06,6e-06,0
0.93,0.18000000000000002,6.032008488965382e-06,6e-06,0
0.93,0.19,6.0130952765128855e-06,6e-06,0
0.93,0.21,5.97526885160789e-06,6e-06,0
0.93,0.22,5.956355639155392e-06,6e-06,0
0.93,0.2,5.994182064060388e-06,6e-06,0
0.94,0.08,5.972566964114673e-06,6e-06,0
0.94,0.06000000000000001,6.0049896140332375e-06,6e-06,0
0.94,0.06999999999999999,5.988778289073957e-06,6e-06,0
0.94,0.09,5.956355639155388e-06,6e-06,0
0.94,0.1,5.940144314196104e-06,6e-06,0
0.94,0.05,6.0212009389925226e-06,6e-06,0
0.94,0.04,6.037412263951805e-06,6e-06,0
0.94,0.03,6.0536235889110885e-06,6e-06,0
0.05,0.94,6.058370582433274e-06,6e-06,1
0.06000000000000001,0.94,6.042182907300145e-06,6e-06,1
0.06999999999999999,0.94,6.025995232167017e-06,6e-06,1
0.08,0.94,6.009807557033889e-06,6e-06,1
0.09,0.94,5.993619881900761e-06,6e-06,1
0.1,0.94,5.977432206767632e-06,6e-06,1
0.11,0.94,5.9612445316345035e-06,6e-06,1
