k,file,total_t,scale
2.143580960028201,geometries/test2D_10_pts_0.03_depth_0.dxf,3.23,0.1
2.1436519886800927,geometries/test2D_10_pts_0.03_depth_1.dxf,3.23,0.1
2.14362100518005,geometries/test2D_10_pts_0.03_depth_2.dxf,3.23,0.1
2.143498829801462,geometries/test2D_10_pts_0.03_depth_3.dxf,3.23,0.1
2.143732181969022,geometries/test2D_10_pts_0.03_depth_4.dxf,3.23,0.1
,geometries/test2D_10_pts_0.03_depth_5.dxf,3.23,0.1
2.1433968763587483,geometries/test2D_10_pts_0.03_depth_6.dxf,3.23,0.1
2.1434152459426246,geometries/test2D_10_pts_0.03_depth_7.dxf,3.23,0.1
2.14395234646623,geometries/test2D_10_pts_0.03_depth_8.dxf,3.23,0.1
2.1434593902406944,geometries/test2D_10_pts_0.03_depth_9.dxf,3.23,0.1
2.143777138084891,geometries/test2D_10_pts_0.04_depth_0.dxf,3.23,0.1
2.143588977661004,geometries/test2D_10_pts_0.04_depth_1.dxf,3.23,0.1
2.143669930451822,geometries/test2D_10_pts_0.04_depth_2.dxf,3.23,0.1
2.143825343229065,geometries/test2D_10_pts_0.04_depth_3.dxf,3.23,0.1
2.143621969397032,geometries/test2D_10_pts_0.04_depth_4.dxf,3.23,0.1
2.143848916029281,geometries/test2D_10_pts_0.04_depth_5.dxf,3.23,0.1
,geometries/test2D_10_pts_0.04_depth_6.dxf,3.23,0.1
2.143403564562123,geometries/test2D_10_pts_0.04_depth_7.dxf,3.23,0.1
,geometries/test2D_10_pts_0.04_depth_8.dxf,3.23,0.1
2.14368344292275,geometries/test2D_10_pts_0.04_depth_9.dxf,3.23,0.1
2.143808842490975,geometries/test2D_10_pts_0.05_depth_0.dxf,3.23,0.1
2.143698824546048,geometries/test2D_10_pts_0.05_depth_1.dxf,3.23,0.1
2.143446678317204,geometries/test2D_10_pts_0.05_depth_2.dxf,3.23,0.1
2.1439710728281183,geometries/test2D_10_pts_0.05_depth_3.dxf,3.23,0.1
2.1434193461443374,geometries/test2D_10_pts_0.05_depth_4.dxf,3.23,0.1
2.143736992857252,geometries/test2D_10_pts_0.05_depth_5.dxf,3.23,0.1
2.1436968500173244,geometries/test2D_10_pts_0.05_depth_6.dxf,3.23,0.1
2.1437601690077455,geometries/test2D_10_pts_0.05_depth_7.dxf,3.23,0.1
2.1434697276471293,geometries/test2D_10_pts_0.05_depth_8.dxf,3.23,0.1
2.1437808493198967,geometries/test2D_10_pts_0.05_depth_9.dxf,3.23,0.1
,geometries/test2D_10_pts_0.06_depth_0.dxf,3.23,0.1
2.1436897214610404,geometries/test2D_10_pts_0.06_depth_1.dxf,3.23,0.1
,geometries/test2D_10_pts_0.06_depth_2.dxf,3.23,0.1
2.1436061278142637,geometries/test2D_10_pts_0.06_depth_3.dxf,3.23,0.1
2.1436084030525446,geometries/test2D_10_pts_0.06_depth_4.dxf,3.23,0.1
2.1435162553818237,geometries/test2D_10_pts_0.06_depth_5.dxf,3.23,0.1
2.1436990595566026,geometries/test2D_10_pts_0.06_depth_6.dxf,3.23,0.1
2.1437275792615953,geometries/test2D_10_pts_0.06_depth_7.dxf,3.23,0.1
2.14378923840194,geometries/test2D_10_pts_0.06_depth_8.dxf,3.23,0.1
2.1440186437284594,geometries/test2D_10_pts_0.06_depth_9.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_0.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_1.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_2.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_3.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_4.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_5.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_6.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_7.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_8.dxf,3.23,0.1
,geometries/test2D_20_pts_0.03_depth_9.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_0.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_1.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_2.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_3.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_4.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_5.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_6.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_7.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_8.dxf,3.23,0.1
,geometries/test2D_20_pts_0.04_depth_9.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_0.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_1.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_2.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_3.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_4.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_5.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_6.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_7.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_8.dxf,3.23,0.1
,geometries/test2D_20_pts_0.05_depth_9.dxf,3.23,0.1
