xs,ys_bottom,ys_top,num_points,putty_depth
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.007798585204154218, 0.006185080621309624, 0.022794297519573764, 0.005447762099458381, -0.0005019335860641794, -0.0025431087783349404, -0.0009501728007761667, 0.014996693934848399, 0.017809167160845907, -0.005500000000000005]","[0.3055, 0.27519965029244314, 0.28470914007865644, 0.2988014782887848, 0.28490709204432196, 0.2786265559638463, 0.30429194332312876, 0.28065408026592986, 0.3000407824657122, 0.2750259962347176, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.007420048178551797, -0.00010460068744103102, 0.02318223974957284, -0.0030680866108130644, 0.0219033223159171, 0.02277359584256805, -0.0011005423623650923, 0.02073235519701766, 0.01706618492088688, -0.005500000000000005]","[0.3055, 0.2859648815582542, 0.28848795569834856, 0.2924655346695659, 0.2800798399846528, 0.3039360728434377, 0.2836564020344915, 0.28321629694791106, 0.277353412805034, 0.30507695853723926, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.020405475579182736, 0.022996586226015275, 0.007097219671586025, 0.008491157087103463, -0.0020983555184580227, 0.00968336402619746, 0.010784160534086956, 0.00810468032617051, 0.004249388233135087, -0.005500000000000005]","[0.3055, 0.2918773406006985, 0.2853575770339035, 0.30185228929407526, 0.278121218478578, 0.2762349489883755, 0.2758205019975067, 0.2763344964109006, 0.29817900838301964, 0.301791238725314, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.013795106473711766, 0.0071077196996988945, 0.01783413145938187, 0.0025634548805050783, 0.021558738109937803, 0.012581527794066544, 0.02387094723867375, 0.0021447519692391337, 0.003903679245566588, -0.005500000000000005]","[0.3055, 0.30279537326712064, 0.28314288600414844, 0.27456800891874805, 0.2804967740841194, 0.2782853386438841, 0.2955870839244154, 0.2922717768085008, 0.29157323530624857, 0.3031650869034531, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.004120384573915836, 0.025400719695580984, 0.01940826620508157, 0.016956744503777044, 0.008790372879583841, 0.01993197770205088, 0.02161594895374136, -0.0037799568660530636, 0.008055494726063928, -0.005500000000000005]","[0.3055, 0.30446767110470624, 0.29160498917325084, 0.30238901209409685, 0.2801611351430251, 0.29803828146100003, 0.29730221618224384, 0.2765895794968149, 0.2878579162357339, 0.2756764721530992, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.024967406631363792, 0.014306987967619117, 0.01650491198687082, 0.01962458409073395, 0.004004526421381133, 0.004408251126701429, 0.016066533393786664, -0.00177908625080489, 0.010502131215883448, -0.005500000000000005]","[0.3055, 0.29663597237038086, 0.2856882889194419, 0.2894773630290171, 0.27706809881388755, 0.30494555997652284, 0.2932647891126372, 0.2983211990258423, 0.28634570208592075, 0.2777866075614791, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.01775099665714744, 0.0156758021721278, 0.022035503901564724, -0.004236868582955938, 0.01746587330655061, 0.009441568016474056, 0.002425656116625041, 0.02261802514986319, 0.0038482619808057894, -0.005500000000000005]","[0.3055, 0.2853722414159069, 0.2943595904693084, 0.28585774950142084, 0.2753236242807396, 0.3013373170263035, 0.2991405295718672, 0.3052142182287936, 0.27926353930864245, 0.2801243053468427, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0046990524975607795, 0.01777453183089514, 0.024357890249726843, -0.0026066838637671397, 0.00370264990943614, 0.014429712562399916, 0.013324124954720157, 0.01240130912419013, 0.005936521933667893, -0.005500000000000005]","[0.3055, 0.2792789300431481, 0.2972257716142853, 0.281722725053018, 0.27991289007141784, 0.2940345621719015, 0.29493540826234055, 0.29886617467520676, 0.2819822269534098, 0.276805644455003, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, 0.013555837101714291, -0.0026827915172806804, 0.025205438712242956, 0.01768460688420659, -0.002854455248954557, 0.0010248024966320601, 0.0208687092678434, -0.003984257491403742, 0.005871476925763813, -0.005500000000000005]","[0.3055, 0.29336560284133006, 0.2958222887385601, 0.2885737539256866, 0.2774090640571662, 0.2970050226643929, 0.28563114894710295, 0.281311379388931, 0.27791993192106507, 0.28260624410874063, 0.3055]",10,0.03
"[0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1]","[-0.005500000000000005, -0.0015313308314774121, 0.024587710129735735, 0.02273203966378201, 0.016722818706389753, 0.008151495877755405, -0.0018151458817718125, 0.0008870600699107389, 0.02276141178119792, 0.011004031370140471, -0.005500000000000005]","[0.3055, 0.2790620566148716, 0.29688057558758013, 0.304253469411794, 0.29101877190203074, 0.2864181659831856, 0.2763444121316202, 0.28037948854182815, 0.27740551318412277, 0.2996876773677889, 0.3055]",10,0.03
